列,重要度%,欠損%,値の種類
近5走平均着差_秒_R偏差,0.4345935547746636,13.217970070218465,50
脚質コース適合_R偏差,0.4366245978753285,13.190822184398202,50
回り別_過去複勝率_R順,0.4413863957585231,25.880781127033803,50
経験最長距離_R偏差,0.44285206853144493,13.331747164723609,50
過去平均着差_秒_R偏差,0.4471178759568933,13.217970070218465,50
同距離過去勝率_R順,0.4505082891476087,20.393552834666327,50
クラス変化_R偏差,0.453478328753664,51.479102228566894,50
馬主勝率_sm_R偏差,0.4553411862623907,0.004880518799148349,50
他馬想定先行馬数_R偏差,0.4577497174784154,16.137435409384018,50
過去着順_std_R偏差,0.4667638211877181,25.216420505499737,50
過去出走数_R偏差,0.46712434257052493,8.993881049555567,50
過去最速上り_R偏差,0.4678461807826287,13.215224778393944,50
調教師複勝率_R偏差,0.4682227249885009,0.11591232147977329,50
コース脚質バイアス_R順,0.4726970277807721,16.454974163753608,50
負担率_R偏差,0.47327596302341524,0.1735634497947132,50
近走改善度,0.48022678576573763,44.160459256819,50
調教師勝率,0.480819714276557,0.11530225662987977,50
回り別_過去勝率_R順,0.4834898773140536,25.880781127033803,50
距離別過去平均着順_R偏差,0.48392919249745786,26.265732047316632,50
騎手競馬場勝率,0.4861460576411578,0.618910790217,50
過去最速タイム秒_R偏差,0.4867833783322813,13.216139875668784,50
競馬場過去平均着順_R偏差,0.4876230334405557,46.62542628281386,50
馬主勝率_R偏差,0.4880008378534197,0.7744773269398537,50
直近5走着順_std_R偏差,0.4917648592517489,25.216420505499737,50
上指_過去最高,0.4925458092816408,13.199973157146605,50
調教師複勝率,0.5021074928921211,0.11530225662987977,50
体重増減_R偏差,0.5038298103194967,8.466479986822598,50
前走間隔,0.5065893803465601,13.195397670772401,50
上指_過去平均,0.5152704317534186,13.199973157146605,50
近走改善度_R偏差,0.5188984430137382,44.5146019021822,50
負担率,0.5216399927722136,0.1735634497947132,50
年齢_R偏差,0.5253047574537059,49.89232355399379,50
距離×馬場_過去平均着順_R偏差,0.5259147783004491,45.15822031881989,50
回り別_過去複勝率_R偏差,0.5326970568599052,27.33609082645485,50
速度_前走,0.5347945708652184,13.667282832165059,50
斤量_R偏差,0.5365019163271878,3.6289707595917444,50
馬主複勝率_R偏差,0.5386631872637931,0.7482445383944313,50
距離別過去平均上り_R偏差,0.5417350215658316,26.255665977293386,50
速度_同場,0.5436933570701981,46.36706381888395,50
体重増減_異常度_R偏差,0.5455575337724734,26.781236845476673,50
父系_長距離勝率_R順,0.5467558337809609,6.745182012847965,50
同距離過去平均着順_R偏差,0.5481791146843407,20.42710640141047,50
父系_複勝率_R順,0.548274250470747,1.6358888949895372,50
前走間隔_R偏差,0.5539712428736372,13.239932404814631,50
上り偏差,0.5639324088615499,25.132841621064316,50
前走上り_R偏差,0.5669042480247523,13.215224778393944,50
騎手競馬場勝率_R偏差,0.5780571058761415,0.6472788057370499,50
体重増減_異常度,0.5787077867109864,26.688506988292854,50
騎手直近複勝率_R偏差,0.5859777249514775,0.10798147843115724,50
近5走着差_std,0.586220606304353,25.13375671833916,50
過去平均体重増減_R偏差,0.5887449662830535,13.56235167798337,50
上指_前走,0.5896536767729732,13.699616269209416,50
距離別過去平均上り,0.5909221484541107,26.17452735225754,50
前走着差_秒_R偏差,0.5914179467851042,13.285687268556648,50
近5走着差_std_R偏差,0.5952298192058812,25.210929921850695,50
前走余力_R偏差,0.6179366452091759,17.231586717668087,50
体重増減_過去標準偏差,0.6373425105437118,25.044077185404806,50
速度_同距離帯,0.638660875166317,26.042143279830647,50
コース脚質バイアス_R偏差,0.6504880125240589,16.698695071286078,50
斤量×年齢_負担_R偏差,0.6579604706125138,2.5570868183287887,50
速度_同馬場,0.6687896003976118,22.79690331082194,50
前走脚質指数_R偏差,0.6820870349622264,13.24481292361378,50
コース脚質バイアス,0.682291355550806,16.454974163753608,50
父系_芝ダ適性_R順,0.6901642324204998,1.6651720077844274,50
速度_過去標準偏差,0.7008564129854058,25.134061750764108,50
距離延長幅_R偏差,0.7103853414915883,25.227706705222765,50
直線長変化_R偏差,0.7341162943398821,13.587974401678899,50
父系_今回距離適性_R順,0.7429380939316681,1.8045718259851022,50
斤量変化_R偏差,0.7430287522210697,14.875211234954275,50
速度_同芝ダ,0.7448765895224805,19.393046480840916,50
父系_長距離勝率_R偏差,0.834378073217799,6.74945246679722,50
父系_複勝率_R偏差,1.1653610765089402,1.6358888949895372,50
父系_芝ダ適性_R偏差,1.3900970963399266,1.6651720077844274,50
父系_今回距離適性_R偏差,1.4779946127811339,1.8045718259851022,50
