種牡馬名,父_産駒数,父_勝率,父_連対率,父_複勝率,父_芝勝率,父_ダート勝率,父_短距離勝率,父_中距離勝率,父_長距離勝率,父_良馬場勝率,父_重馬場勝率,父_平均着順,種別,母父_産駒数,母父_勝率,母父_連対率,母父_複勝率,母父_芝勝率,母父_ダート勝率,母父_短距離勝率,母父_中距離勝率,母父_長距離勝率,母父_良馬場勝率,母父_重馬場勝率,母父_平均着順
コスモメリー,,,,,,,,,,,,,母父,46.0,0.13043478260869565,0.2391304347826087,0.3695652173913043,0.13636363636363635,0.0,0.15384615384615385,0.05263157894736842,1.0,0.15789473684210525,0.0,6.565217391304348
コスモライセンス,,,,,,,,,,,,,母父,28.0,0.03571428571428571,0.07142857142857142,0.17857142857142858,0.037037037037037035,0.0,,0.07692307692307693,0.0,0.05263157894736842,0.0,5.75
コスモラパン,,,,,,,,,,,,,母父,18.0,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.06666666666666667,0.0,0.06666666666666667,0.0,,0.06666666666666667,0.0,10.222222222222221
コスモランゲル,,,,,,,,,,,,,母父,11.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,,0.0,0.0,10.0
コスモリリー,,,,,,,,,,,,,母父,13.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,11.0
コスモリープリング,,,,,,,,,,,,,母父,31.0,0.03225806451612903,0.06451612903225806,0.16129032258064516,0.03571428571428571,0.0,0.0,0.047619047619047616,0.0,0.05263157894736842,0.0,8.741935483870968
コスモルビー,,,,,,,,,,,,,母父,26.0,0.0,0.038461538461538464,0.15384615384615385,0.0,0.0,0.0,0.0,,0.0,0.0,8.5
コスモルーシー,,,,,,,,,,,,,母父,78.0,0.11538461538461539,0.23076923076923078,0.41025641025641024,0.11688311688311688,0.0,0.13333333333333333,0.10869565217391304,0.0,0.11475409836065574,0.0,5.756410256410256
コスモレティクルム,,,,,,,,,,,,,母父,46.0,0.06521739130434782,0.1956521739130435,0.2608695652173913,0.08333333333333333,0.0,,0.07142857142857142,0.0,0.05,0.0,6.391304347826087
コスモヴァレンチ,,,,,,,,,,,,,母父,45.0,0.06666666666666667,0.15555555555555556,0.24444444444444444,0.0,0.08333333333333333,0.0,0.07894736842105263,0.0,0.10344827586206896,0.0,6.355555555555555
コズミックウィッシュ,,,,,,,,,,,,,母父,17.0,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.16666666666666666,0.0,0.15384615384615385,0.0,,0.07692307692307693,0.0,9.588235294117647
コズミックショア,,,,,,,,,,,,,母父,22.0,0.0,0.045454545454545456,0.22727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.318181818181818
コズミックフレイム,,,,,,,,,,,,,母父,64.0,0.078125,0.125,0.1875,0.11363636363636363,0.0,0.07317073170731707,0.09523809523809523,0.0,0.07692307692307693,0.2,7.171875
コチョウサン,,,,,,,,,,,,,母父,39.0,0.05128205128205128,0.1282051282051282,0.1794871794871795,0.0,0.06896551724137931,0.05714285714285714,0.0,,0.07142857142857142,0.0,9.538461538461538
コックニー,,,,,,,,,,,,,母父,21.0,0.19047619047619047,0.23809523809523808,0.2857142857142857,0.18181818181818182,0.2,0.18181818181818182,0.2,0.2,0.16666666666666666,0.3333333333333333,8.428571428571429
コッパ,,,,,,,,,,,,,母父,34.0,0.17647058823529413,0.2647058823529412,0.38235294117647056,0.1875,0.0,0.0,0.23076923076923078,,0.2222222222222222,0.0,6.382352941176471
コテキタイ,,,,,,,,,,,,,母父,61.0,0.16393442622950818,0.2459016393442623,0.32786885245901637,0.0,0.17857142857142858,0.20833333333333334,0.0,0.0,0.17073170731707318,0.16666666666666666,7.377049180327869
コナブリュワーズ,,,,,,,,,,,,,母父,59.0,0.1016949152542373,0.22033898305084745,0.3050847457627119,0.12,0.0,0.12,0.09090909090909091,0.0,0.10256410256410256,0.16666666666666666,7.440677966101695
コニャックレディ,,,,,,,,,,,,,母父,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,7.8
コハルタイム,,,,,,,,,,,,,母父,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.428571428571429
コハルビヨリ,,,,,,,,,,,,,母父,6.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,,0.16666666666666666,0.2,0.0,,0.0,0.5,4.833333333333333
コパカティ,,,,,,,,,,,,,母父,7.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0,0.3333333333333333,,0.16666666666666666,0.0,0.16666666666666666,,6.0
コパノオーシャンズ,,,,,,,,,,,,,母父,14.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.09090909090909091,0.0,,0.07142857142857142,,0.1,0.0,7.642857142857143
コパノタイマネ,,,,,,,,,,,,,母父,25.0,0.08,0.16,0.28,,0.08,,0.0,0.25,0.10526315789473684,0.0,7.0
コパノチカチャン,,,,,,,,,,,,,母父,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,12.777777777777779
コパノディール,,,,,,,,,,,,,母父,9.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,,0.0,0.0,8.333333333333334
コパノニキータ,,,,,,,,,,,,,母父,20.0,0.0,0.1,0.15,,0.0,0.0,0.0,,0.0,0.0,8.05
コパノハート,,,,,,,,,,,,,母父,9.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.14285714285714285,0.125,0.0,,0.2,0.0,9.11111111111111
コパノバウンシ,,,,,,,,,,,,,母父,5.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,9.0
コパノビジン,,,,,,,,,,,,,母父,27.0,0.07407407407407407,0.14814814814814814,0.25925925925925924,0.0,0.07692307692307693,0.0,0.1,,0.09523809523809523,0.0,7.592592592592593
コパノプリンセス,,,,,,,,,,,,,母父,5.0,0.0,0.0,0.4,,0.0,0.0,0.0,,0.0,0.0,6.6
コパノプレゼント,,,,,,,,,,,,,母父,21.0,0.047619047619047616,0.19047619047619047,0.19047619047619047,,0.047619047619047616,,0.05,0.0,0.0,0.14285714285714285,6.476190476190476
コパノマルコリーニ,,,,,,,,,,,,,母父,50.0,0.06,0.12,0.22,0.06382978723404255,0.0,0.0,0.1,0.0,0.08333333333333333,0.0,7.78
コパノリンデン,,,,,,,,,,,,,母父,13.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,9.692307692307692
コパノレヴィーン,,,,,,,,,,,,,母父,15.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.16666666666666666,0.0,0.25,0.0,0.09090909090909091,0.5,7.933333333333334
コフィーチャン,,,,,,,,,,,,,母父,59.0,0.05084745762711865,0.0847457627118644,0.11864406779661017,0.0,0.0625,0.05,0.0,0.1,0.058823529411764705,0.0,8.576271186440678
コペノイコロ,,,,,,,,,,,,,母父,44.0,0.06818181818181818,0.20454545454545456,0.29545454545454547,0.0,0.10714285714285714,0.05555555555555555,0.043478260869565216,0.3333333333333333,0.06896551724137931,0.125,7.2272727272727275
コマノサラサ,,,,,,,,,,,,,母父,19.0,0.10526315789473684,0.15789473684210525,0.15789473684210525,0.0,0.2,,0.1111111111111111,0.0,0.07692307692307693,0.0,6.684210526315789
コマノスクアーロ,,,,,,,,,,,,,母父,39.0,0.05128205128205128,0.20512820512820512,0.2564102564102564,0.0,0.07407407407407407,0.041666666666666664,0.09090909090909091,0.0,0.07142857142857142,0.0,6.897435897435898
コマノラミア,,,,,,,,,,,,,母父,6.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,6.833333333333333
コマノリリー,,,,,,,,,,,,,母父,33.0,0.15151515151515152,0.21212121212121213,0.30303030303030304,0.21428571428571427,0.10526315789473684,0.10526315789473684,0.21428571428571427,,0.13043478260869565,0.25,6.636363636363637
コマノレジェンド,,,,,,,,,,,,,母父,31.0,0.0967741935483871,0.16129032258064516,0.3225806451612903,0.0,0.125,0.06666666666666667,0.15384615384615385,0.0,0.14285714285714285,0.0,6.741935483870968
コマンドゥールキイ,,,,,,,,,,,,,母父,35.0,0.11428571428571428,0.11428571428571428,0.2,0.09090909090909091,0.15384615384615385,0.2727272727272727,0.05263157894736842,0.0,0.12903225806451613,0.0,6.485714285714286
コマーサント,,,,,,,,,,,,,母父,31.0,0.03225806451612903,0.06451612903225806,0.16129032258064516,0.037037037037037035,0.0,0.0,0.045454545454545456,0.0,0.05263157894736842,0.0,6.838709677419355
コミカル,,,,,,,,,,,,,母父,6.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.25,0.0,0.25,,0.2,0.0,8.5
コム,,,,,,,,,,,,,母父,14.0,0.21428571428571427,0.35714285714285715,0.35714285714285715,0.2727272727272727,0.0,,0.23076923076923078,0.0,0.23076923076923078,,5.285714285714286
コリエドペルル,,,,,,,,,,,,,母父,20.0,0.15,0.25,0.3,0.0,0.2,0.0,0.21428571428571427,,0.07692307692307693,0.0,8.35
コリンシアン,,,,,,,,,,,,,母父,23.0,0.08695652173913043,0.34782608695652173,0.4782608695652174,0.09523809523809523,0.0,0.0,0.11764705882352941,,0.1,0.0,6.173913043478261
コリンズグラス,,,,,,,,,,,,,母父,32.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.21875
コリンナ,,,,,,,,,,,,,母父,27.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,,0.0,0.0,8.555555555555555
コリーヌ,,,,,,,,,,,,,母父,15.0,0.06666666666666667,0.2,0.26666666666666666,0.2,0.0,0.16666666666666666,0.0,,0.0,0.0,5.466666666666667
コルコバード,,,,,,,,,,,,,母父,31.0,0.22580645161290322,0.3225806451612903,0.3548387096774194,0.24,0.16666666666666666,0.0,0.17647058823529413,0.3333333333333333,0.19230769230769232,1.0,4.967741935483871
コルチカ,,,,,,,,,,,,,母父,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,11.421052631578947
コルデトゥリーニ,,,,,,,,,,,,,母父,6.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0,,8.333333333333334
コルボノワール,,,,,,,,,,,,,母父,9.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,,0.0,,8.555555555555555
コレクターアイテム,,,,,,,,,,,,,母父,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.11111111111111
コロナシオン,,,,,,,,,,,,,母父,16.0,0.0625,0.3125,0.4375,0.07692307692307693,0.0,0.0,0.125,0.0,0.06666666666666667,0.0,7.0
コロンバスサークル,,,,,,,,,,,,,母父,16.0,0.125,0.125,0.25,0.125,,,0.0,0.14285714285714285,0.1111111111111111,0.0,6.75
コンカラン,,,,,,,,,,,,,母父,61.0,0.08196721311475409,0.19672131147540983,0.32786885245901637,0.09615384615384616,0.0,0.0,0.08823529411764706,0.3333333333333333,0.08,0.0,6.081967213114754
