父名,父_産駒数,父_勝率,父_連対率,父_複勝率,父_芝勝率,父_ダート勝率,父_短距離勝率,父_中距離勝率,父_長距離勝率,父_良馬場勝率,父_重馬場勝率,父_平均着順
ストーミングホーム,271,0.055350553505535055,0.13284132841328414,0.23616236162361623,0.0297029702970297,0.07058823529411765,0.09302325581395349,0.04375,0.0,0.0481283422459893,0.03125,7.173431734317343
ストーミーシー,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,9.555555555555555
スニッツェル,36,0.08333333333333333,0.2222222222222222,0.3333333333333333,0.09090909090909091,0.0,0.10526315789473684,0.058823529411764705,,0.10714285714285714,0.0,7.333333333333333
スノードラゴン,58,0.034482758620689655,0.05172413793103448,0.08620689655172414,0.03125,0.038461538461538464,0.0392156862745098,0.0,,0.02564102564102564,0.0,8.379310344827585
スパイキュール,36,0.027777777777777776,0.05555555555555555,0.1388888888888889,0.14285714285714285,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,7.833333333333333
スピリッツミノル,19,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.0,0.058823529411764705,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,6.947368421052632
スピルバーグ,823,0.046172539489671933,0.10328068043742406,0.16889428918590524,0.04831932773109244,0.043227665706051875,0.013392857142857142,0.06343283582089553,0.015873015873015872,0.04671280276816609,0.04716981132075472,8.313487241798299
スペシャルウィーク,100,0.04,0.09,0.17,0.047619047619047616,0.02702702702702703,0.0,0.061224489795918366,0.038461538461538464,0.02857142857142857,0.0,8.75
スマイルジャック,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,15.0
スマートオーディン,11,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.125,0.0,0.14285714285714285,0.0,,0.1,,4.363636363636363
スマートファルコン,1207,0.058823529411764705,0.11433305716652858,0.17729908864954433,0.007246376811594203,0.06548175865294668,0.06020066889632107,0.06108202443280977,0.0,0.053497942386831275,0.06072874493927125,8.16570008285004
スマートロビン,11,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.2222222222222222,0.0,0.0,0.25,0.16666666666666666,0.18181818181818182,,7.0
スワーヴリチャード,513,0.10136452241715399,0.1871345029239766,0.28460038986354774,0.10997442455242967,0.07377049180327869,0.06060606060606061,0.11006289308176101,0.23333333333333334,0.10311750599520383,0.03225806451612903,7.074074074074074
スーパーホーネット,21,0.047619047619047616,0.09523809523809523,0.19047619047619047,0.05263157894736842,0.0,0.0,0.0,0.3333333333333333,0.05555555555555555,,7.142857142857143
セイクリムズン,10,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,11.1
セイントアレックス,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.083333333333334
セレスハント,48,0.041666666666666664,0.22916666666666666,0.3125,0.0,0.044444444444444446,0.05555555555555555,0.0,,0.03225806451612903,0.0,6.145833333333333
セレン,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,9.0
ゼンノエルシド,11,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.09090909090909091,,,,0.09090909090909091,0.1111111111111111,0.0,6.545454545454546
ゼンノロブロイ,963,0.04776739356178609,0.10176531671858775,0.15160955347871236,0.04842105263157895,0.0471311475409836,0.04608294930875576,0.03873239436619718,0.07865168539325842,0.03864734299516908,0.04861111111111111,8.530633437175494
ソングオブウインド,43,0.046511627906976744,0.06976744186046512,0.11627906976744186,0.0,0.06666666666666667,0.07142857142857142,0.0,0.0,0.038461538461538464,0.0,8.976744186046512
タイキシャトル,607,0.039538714991762765,0.08401976935749589,0.13838550247116968,0.035398230088495575,0.04477611940298507,0.04081632653061224,0.024096385542168676,0.08163265306122448,0.0392156862745098,0.05555555555555555,9.056013179571664
タイセイレジェンド,101,0.0594059405940594,0.12871287128712872,0.19801980198019803,0.0625,0.058823529411764705,0.02127659574468085,0.08163265306122448,0.2,0.06944444444444445,0.058823529411764705,8.643564356435643
タイムパラドックス,499,0.026052104208416832,0.06813627254509018,0.13026052104208416,0.0,0.02850877192982456,0.03333333333333333,0.015873015873015872,0.05405405405405406,0.029411764705882353,0.010526315789473684,8.054108216432866
タガノロックオン,16,0.0625,0.125,0.375,,0.0625,0.0,0.07692307692307693,,0.1,0.0,7.1875
タニノギムレット,491,0.04276985743380855,0.08961303462321792,0.12830957230142567,0.044585987261146494,0.03954802259887006,0.04519774011299435,0.012244897959183673,0.14492753623188406,0.03768115942028986,0.07547169811320754,8.710794297352342
タリスマニック,546,0.06593406593406594,0.1336996336996337,0.20695970695970695,0.06914893617021277,0.06424581005586592,0.07906976744186046,0.048701298701298704,0.17391304347826086,0.061170212765957445,0.11688311688311688,7.712454212454213
タワーオブロンドン,110,0.06363636363636363,0.12727272727272726,0.22727272727272727,0.07142857142857142,0.038461538461538464,0.07777777777777778,0.0,,0.043478260869565216,0.2857142857142857,7.054545454545455
タートルボウル,1081,0.07123034227567067,0.1396854764107308,0.20444033302497688,0.08888888888888889,0.060650887573964495,0.0627062706270627,0.07488986784140969,0.07216494845360824,0.07407407407407407,0.06060606060606061,7.622571692876965
ダイシンオレンジ,28,0.10714285714285714,0.14285714285714285,0.25,0.0,0.1111111111111111,0.15789473684210525,0.0,,0.07142857142857142,0.2,6.321428571428571
ダイワメジャー,5315,0.0761994355597366,0.15917215428033865,0.2310442144873001,0.08092485549132948,0.0673854447439353,0.07951533510034078,0.07278341420379356,0.07371007371007371,0.07682012847965738,0.0790273556231003,7.5704609595484476
ダノンゴーゴー,10,0.0,0.1,0.1,0.0,0.0,0.0,0.0,,0.0,,8.9
ダノンシャンティ,997,0.04714142427281846,0.10531594784353059,0.18355065195586762,0.056896551724137934,0.03357314148681055,0.04710144927536232,0.04851752021563342,0.04054054054054054,0.046130952380952384,0.04225352112676056,7.978936810431294
ダノンシャーク,223,0.026905829596412557,0.06726457399103139,0.13901345291479822,0.033707865168539325,0.022388059701492536,0.035398230088495575,0.019230769230769232,0.0,0.03597122302158273,0.02857142857142857,8.645739910313901
ダノンバラード,968,0.05475206611570248,0.13016528925619836,0.21074380165289255,0.052917232021709636,0.06060606060606061,0.04680851063829787,0.060029282576866766,0.02,0.051209103840682786,0.06796116504854369,7.4679752066115705
ダノンレジェンド,1086,0.09116022099447514,0.16666666666666666,0.24677716390423574,0.019305019305019305,0.11366384522370013,0.08940852819807428,0.09883720930232558,0.0,0.0953020134228188,0.05732484076433121,7.6353591160221
ダブルスター,13,0.0,0.15384615384615385,0.38461538461538464,,0.0,0.0,0.0,,0.0,0.0,7.230769230769231
ダンカーク,1879,0.05747738158594997,0.11282597126130921,0.16498137307078234,0.038112522686025406,0.06551204819277108,0.04591104734576758,0.06171648987463838,0.08275862068965517,0.045081967213114756,0.09032258064516129,8.399148483235765
ダンスインザダーク,57,0.05263157894736842,0.12280701754385964,0.15789473684210525,0.058823529411764705,0.043478260869565216,0.0,0.041666666666666664,0.11764705882352941,0.05714285714285714,0.0,8.12280701754386
ダンスディレクター,7,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,11.571428571428571
チェリークラウン,42,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.0,0.02631578947368421,0.0,0.05,0.0,0.04,0.0,10.547619047619047
チチカステナンゴ,14,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.285714285714286
ティンバーカントリー,34,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.05555555555555555,0.0625,0.0,0.25,0.05,0.041666666666666664,0.2,7.294117647058823
テイエムオペラオー,60,0.016666666666666666,0.1,0.18333333333333332,0.02702702702702703,0.0,0.05,0.0,0.0,0.019230769230769232,0.0,8.25
テイエムジンソク,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12.9
ディスクリートキャット,1588,0.0698992443324937,0.14168765743073047,0.22103274559193956,0.061420345489443376,0.07403936269915651,0.07645875251509054,0.06028368794326241,0.03333333333333333,0.06353591160220995,0.10822510822510822,7.724181360201511
ディープインパクト,7634,0.11501178936337438,0.21587634267749542,0.30940529211422585,0.11950257810130421,0.08653846153846154,0.07746478873239436,0.12543697306189594,0.11009174311926606,0.118804920913884,0.10785619174434088,6.378176578464763
ディープエクシード,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,13.6
ディープスカイ,341,0.05865102639296188,0.11143695014662756,0.16715542521994134,0.11711711711711711,0.030434782608695653,0.05309734513274336,0.06435643564356436,0.038461538461538464,0.07174887892376682,0.043478260869565216,8.545454545454545
ディープブリランテ,2326,0.05116079105760963,0.1057609630266552,0.17927773000859845,0.05801305293691081,0.04118268215417107,0.052313883299798795,0.04401408450704225,0.08673469387755102,0.05276073619631902,0.06825938566552901,8.02450558899398
ディーマジェスティ,645,0.06666666666666667,0.15968992248062017,0.24186046511627907,0.0705521472392638,0.06269592476489028,0.07017543859649122,0.06666666666666667,0.03333333333333333,0.06236559139784946,0.14705882352941177,7.09922480620155
デクラレーションオブウォー,1008,0.08234126984126984,0.1527777777777778,0.22023809523809523,0.08298755186721991,0.0817490494296578,0.09198813056379822,0.0799347471451876,0.05172413793103448,0.0785413744740533,0.09285714285714286,7.549603174603175
デュランダル,35,0.0,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8
トゥザグローリー,1252,0.0463258785942492,0.10862619808306709,0.16932907348242812,0.05058365758754864,0.04336043360433604,0.043209876543209874,0.05188679245283019,0.03076923076923077,0.04024390243902439,0.0663265306122449,7.904952076677317
トゥザワールド,885,0.04971751412429379,0.11186440677966102,0.17853107344632768,0.05454545454545454,0.046,0.05970149253731343,0.0374331550802139,0.047619047619047616,0.041237113402061855,0.07246376811594203,8.253107344632769
トウケイヘイロー,66,0.12121212121212122,0.13636363636363635,0.19696969696969696,0.1,0.1388888888888889,0.16666666666666666,0.10526315789473684,0.0,0.09302325581395349,0.0,7.5
トビーズコーナー,455,0.07252747252747253,0.12967032967032968,0.2021978021978022,0.03125,0.08356545961002786,0.07024793388429752,0.07386363636363637,0.08108108108108109,0.05862068965517241,0.0547945205479452,7.940659340659341
トランセンド,841,0.06777645659928656,0.12960760998810938,0.2057074910820452,0.06735751295336788,0.06790123456790123,0.07049608355091384,0.06133333333333333,0.08433734939759036,0.06496062992125984,0.0759493670886076,7.625445897740785
トワイニング,25,0.04,0.2,0.28,0.07692307692307693,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,6.88
トーセンジョーダン,787,0.03430749682337993,0.07878017789072427,0.14612452350698857,0.017985611510791366,0.043222003929273084,0.016286644951140065,0.045346062052505964,0.04918032786885246,0.0311284046692607,0.05084745762711865,9.039390088945362
トーセンファントム,160,0.06875,0.125,0.21875,0.04938271604938271,0.08860759493670886,0.07228915662650602,0.07462686567164178,0.0,0.10576923076923077,0.0,7.04375
トーセンブライト,128,0.0234375,0.09375,0.171875,0.0,0.02727272727272727,0.0,0.03409090909090909,0.0,0.025974025974025976,0.043478260869565216,7.328125
トーセンホマレボシ,847,0.03659976387249114,0.09090909090909091,0.14521841794569068,0.04357298474945534,0.028350515463917526,0.04568527918781726,0.03244274809160305,0.03968253968253968,0.032432432432432434,0.0546875,8.173553719008265
トーセンモナーク,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.466666666666667
トーセンラー,903,0.058693244739756366,0.10077519379844961,0.15503875968992248,0.06818181818181818,0.02512562814070352,0.06233062330623306,0.05263157894736842,0.07692307692307693,0.05718954248366013,0.056910569105691054,8.636766334440754
トーセンレーヴ,44,0.045454545454545456,0.06818181818181818,0.11363636363636363,0.05263157894736842,0.0,0.0,0.0625,0.0,0.0,0.0,8.113636363636363
トーセンロレンス,21,0.0,0.14285714285714285,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
トーホウジャッカル,196,0.04591836734693878,0.10714285714285714,0.21428571428571427,0.04666666666666667,0.043478260869565216,0.06818181818181818,0.03333333333333333,0.0,0.046052631578947366,0.0,7.321428571428571
ドゥラメンテ,4066,0.103049680275455,0.1969995081160846,0.28603049680275455,0.10347490347490347,0.10230352303523035,0.08,0.105471562275018,0.1324200913242009,0.10441629578911332,0.1,6.960403344810625
ドリームジャーニー,682,0.06158357771260997,0.1495601173020528,0.23607038123167157,0.06569343065693431,0.04477611940298507,0.04827586206896552,0.06609195402298851,0.06349206349206349,0.04979253112033195,0.10843373493975904,7.263929618768328
ドリームバレンチノ,40,0.025,0.15,0.175,0.0,0.029411764705882353,0.045454545454545456,0.0,,0.0,0.0,7.775
ドレフォン,2761,0.09670409272002897,0.18435349511046722,0.2687432089822528,0.06455542021924482,0.11030927835051546,0.0865546218487395,0.10472972972972973,0.0989010989010989,0.0955649419218585,0.0889487870619946,6.959434987323434
ナカヤマフェスタ,571,0.03152364273204904,0.06304728546409807,0.09807355516637478,0.035326086956521736,0.024630541871921183,0.02531645569620253,0.02214022140221402,0.056338028169014086,0.03367875647668394,0.02666666666666667,8.901926444833625
ナダル,101,0.24752475247524752,0.37623762376237624,0.43564356435643564,0.08108108108108109,0.34375,0.3157894736842105,0.20634920634920634,,0.2716049382716049,0.16666666666666666,5.188118811881188
ナムラタイタン,57,0.017543859649122806,0.10526315789473684,0.17543859649122806,0.0,0.023255813953488372,0.0,0.038461538461538464,0.0,0.0,0.0,7.087719298245614
ニシケンモノノフ,119,0.05042016806722689,0.09243697478991597,0.15126050420168066,0.09090909090909091,0.03488372093023256,0.024096385542168676,0.1,0.16666666666666666,0.042105263157894736,0.14285714285714285,7.899159663865547
ニホンピロアワーズ,137,0.072992700729927,0.1386861313868613,0.1678832116788321,0.10344827586206896,0.06481481481481481,0.04918032786885246,0.0958904109589041,0.0,0.075,0.06666666666666667,8.021897810218977
ニューイヤーズデイ,515,0.10679611650485436,0.19611650485436893,0.2815533980582524,0.0718954248366013,0.12154696132596685,0.09565217391304348,0.10820895522388059,0.23529411764705882,0.09498680738786279,0.15,6.631067961165049
ニューイングランド,23,0.043478260869565216,0.08695652173913043,0.17391304347826086,0.0,0.058823529411764705,,0.0,0.08333333333333333,0.08333333333333333,0.0,7.695652173913044
ネイティヴハート,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,8.4
ネオユニヴァース,1193,0.05951383067896061,0.1165129924559933,0.16177703269069574,0.04946236559139785,0.06593406593406594,0.03416856492027335,0.07979626485568761,0.05454545454545454,0.05928853754940711,0.08196721311475409,8.160100586756077
