構成,点数,的中,的中率,ROI,100超年,年別
軸gap>=3.0 馬連 相手gap>=1.0,1034,8,0.7736943907156674,111.71179883945841,2,"{2021: np.float64(120.91666666666667), 2022: np.float64(304.95762711864404), 2023: np.float64(50.12820512820513), 2024: np.float64(0.0), 2025: np.float64(22.039473684210527)}"
軸gap>=2.0 馬単表 相手gap>=1.0,5850,36,0.6153846153846154,111.6,1,"{2021: np.float64(57.148125384142595), 2022: np.float64(73.79423868312757), 2023: np.float64(66.50963597430408), 2024: np.float64(477.7445652173913), 2025: np.float64(42.21225710014948)}"
軸gap>=2.0 馬連 相手上位3,5673,121,2.132910276749515,111.23038956460427,2,"{2021: np.float64(80.61682242990655), 2022: np.float64(148.59555555555556), 2023: np.float64(82.98809523809524), 2024: np.float64(181.93637621023512), 2025: np.float64(96.52173913043478)}"
軸gap>=1.5 軸<10倍 馬連 相手上位3,10299,518,5.029614525682105,110.06311292358481,4,"{2021: np.float64(72.95710267229255), 2022: np.float64(122.87539936102236), 2023: np.float64(109.61010433827568), 2024: np.float64(106.19449128724003), 2025: np.float64(155.16944865958524)}"
軸gap>=2.0 ワイド 相手gap>=1.0,5850,212,3.623931623931624,107.9094017094017,4,"{2021: np.float64(126.82851874615858), 2022: np.float64(126.61728395061728), 2023: np.float64(114.52890792291221), 2024: np.float64(132.52717391304347), 2025: np.float64(49.75336322869955)}"
軸gap>=2.0 馬連 相手gap>=1.0,5850,77,1.3162393162393162,107.49230769230769,4,"{2021: np.float64(131.65949600491703), 2022: np.float64(110.34567901234568), 2023: np.float64(105.32119914346895), 2024: np.float64(166.6576086956522), 2025: np.float64(44.48430493273543)}"
軸gap>=2.0 馬単裏 相手gap>=1.0,5850,41,0.7008547008547009,107.35897435897436,3,"{2021: np.float64(153.97049784880147), 2022: np.float64(129.35802469135803), 2023: np.float64(147.40899357601714), 2024: np.float64(25.054347826086957), 2025: np.float64(48.01943198804185)}"
軸gap>=3.0 複勝,320,39,12.1875,107.21875,2,"{2021: np.float64(180.0), 2022: np.float64(115.0), 2023: np.float64(96.95652173913044), 2024: np.float64(16.451612903225808), 2025: np.float64(72.44680851063829)}"
軸gap>=1.5 軸<10倍 ワイド 相手gap>=1.6,205,15,7.317073170731707,106.1951219512195,1,"{2021: np.float64(86.06382978723404), 2022: np.float64(22.43243243243243), 2025: np.float64(272.05128205128204)}"
軸gap>=1.5 ワイド 相手gap>=1.3,6279,283,4.507087115782768,105.88788023570632,3,"{2021: np.float64(120.91299677765844), 2022: np.float64(129.90667623833454), 2023: np.float64(67.57884972170686), 2024: np.float64(124.16565164433618), 2025: np.float64(74.64888888888889)}"
軸gap>=1.5 軸<10倍 ワイド 相手gap>=1.3,1776,146,8.220720720720722,105.71509009009009,2,"{2021: np.float64(81.8360655737705), 2022: np.float64(150.78787878787878), 2023: np.float64(93.52159468438538), 2024: np.float64(74.36974789915966), 2025: np.float64(142.15488215488216)}"
軸gap>=1.5 馬単表 相手上位3,21405,365,1.7052090633029666,104.95444989488438,2,"{2021: np.float64(84.06558598844792), 2022: np.float64(114.25328554360813), 2023: np.float64(81.70364702881918), 2024: np.float64(173.4078532530811), 2025: np.float64(88.19266261534999)}"
軸gap>=3.0 馬単表 相手gap>=1.0,1034,4,0.3868471953578337,104.41972920696325,2,"{2021: np.float64(51.208333333333336), 2022: np.float64(276.56779661016947), 2023: np.float64(133.33333333333334), 2024: np.float64(0.0), 2025: np.float64(31.611842105263158)}"
軸gap>=1.5 軸<10倍 単勝,3433,839,24.439265948150307,104.01980774832508,3,"{2021: np.float64(97.18354430379746), 2022: np.float64(112.90734824281151), 2023: np.float64(112.8171334431631), 2024: np.float64(114.03035413153457), 2025: np.float64(88.30045523520485)}"
軸gap>=1.5 馬単裏 相手gap>=1.6,1089,7,0.642791551882461,103.40679522497705,2,"{2021: np.float64(30.784313725490197), 2022: np.float64(28.043478260869566), 2023: np.float64(0.0), 2024: np.float64(185.14851485148515), 2025: np.float64(370.7920792079208)}"
軸gap>=2.0 軸<10倍 馬単表 相手gap>=1.0,1030,22,2.1359223300970873,102.59223300970874,3,"{2021: np.float64(114.97727272727273), 2022: np.float64(135.5), 2023: np.float64(114.01960784313725), 2024: np.float64(85.64516129032258), 2025: np.float64(45.869565217391305)}"
軸gap>=1.5 馬単裏 相手gap>=1.3,6279,47,0.7485268354833572,102.2105430801083,3,"{2021: np.float64(54.1890440386681), 2022: np.float64(181.18449389806173), 2023: np.float64(109.10946196660483), 2024: np.float64(61.985383678440925), 2025: np.float64(106.64888888888889)}"
軸gap>=3.0 馬単裏 相手上位3,960,4,0.4166666666666667,101.92708333333333,2,"{2021: np.float64(117.75100401606426), 2022: np.float64(330.050505050505), 2023: np.float64(0.0), 2024: np.float64(0.0), 2025: np.float64(11.27659574468085)}"
軸gap>=2.0 軸<10倍 ワイド 相手上位3,1764,197,11.16780045351474,101.34920634920636,2,"{2021: np.float64(107.18654434250764), 2022: np.float64(88.84615384615384), 2023: np.float64(62.82051282051282), 2024: np.float64(70.90090090090091), 2025: np.float64(139.0288713910761)}"
軸gap>=1.5 軸<10倍 馬連 相手gap>=1.0,7308,287,3.9272030651340994,101.27941981390258,3,"{2021: np.float64(67.41486810551558), 2022: np.float64(130.169992609017), 2023: np.float64(116.37480798771121), 2024: np.float64(93.9459029435163), 2025: np.float64(117.36079328756674)}"
軸gap>=1.5 軸<10倍 馬単表 相手gap>=1.0,7308,158,2.1620142309797483,99.20224411603722,2,"{2021: np.float64(66.95443645083932), 2022: np.float64(137.79748706577976), 2023: np.float64(132.23502304147465), 2024: np.float64(98.92601431980907), 2025: np.float64(78.1159420289855)}"
軸gap>=1.5 馬連 相手上位3,21405,668,3.120766176127073,98.25414622751694,3,"{2021: np.float64(77.04676728153531), 2022: np.float64(120.28195937873357), 2023: np.float64(100.43611323641927), 2024: np.float64(108.23445113212955), 2025: np.float64(93.36034211118614)}"
軸gap>=1.5 軸<10倍 馬連 相手上位2,6866,354,5.155840372851733,97.25313137197786,2,"{2021: np.float64(68.95042194092827), 2022: np.float64(136.8929712460064), 2023: np.float64(95.44481054365733), 2024: np.float64(78.73524451939292), 2025: np.float64(118.64188163884674)}"
軸gap>=1.5 馬単表 相手gap>=1.0,21356,222,1.0395205094587001,96.17156770930886,2,"{2021: np.float64(66.96301973558153), 2022: np.float64(105.536866359447), 2023: np.float64(84.29350520575112), 2024: np.float64(206.60902696365767), 2025: np.float64(46.27441967363824)}"
軸gap>=1.5 軸<10倍 馬単表 相手上位2,6866,215,3.1313719778619284,95.95397611418585,2,"{2021: np.float64(76.95675105485232), 2022: np.float64(135.52715654952075), 2023: np.float64(103.73970345963757), 2024: np.float64(85.24451939291737), 2025: np.float64(88.15629742033384)}"
軸gap>=2.0 複勝,1891,455,24.061343204653625,95.90692755156002,2,"{2021: np.float64(109.98130841121495), 2022: np.float64(95.28), 2023: np.float64(90.46428571428571), 2024: np.float64(108.29875518672199), 2025: np.float64(76.8695652173913)}"
軸gap>=1.5 馬連 相手gap>=1.0,21356,450,2.1071361678216896,94.82346881438471,3,"{2021: np.float64(94.28051350833493), 2022: np.float64(107.73041474654377), 2023: np.float64(104.74219137332672), 2024: np.float64(107.37983587338805), 2025: np.float64(63.557802803953116)}"
軸gap>=3.0 馬単裏 相手gap>=1.0,1034,4,0.3868471953578337,94.63249516441006,2,"{2021: np.float64(122.16666666666667), 2022: np.float64(276.90677966101697), 2023: np.float64(0.0), 2024: np.float64(0.0), 2025: np.float64(10.460526315789474)}"
軸gap>=3.0 馬単表 相手上位3,960,4,0.4166666666666667,94.5625,1,"{2021: np.float64(63.855421686746986), 2022: np.float64(329.64646464646466), 2023: np.float64(0.0), 2024: np.float64(0.0), 2025: np.float64(34.07801418439716)}"
軸gap>=2.0 軸<10倍 複勝,588,277,47.10884353741497,94.54081632653062,1,"{2021: np.float64(99.90825688073394), 2022: np.float64(86.15384615384616), 2023: np.float64(76.61538461538461), 2024: np.float64(107.02702702702703), 2025: np.float64(94.09448818897638)}"
軸gap>=1.5 軸<10倍 ワイド 相手gap>=1.0,7308,715,9.783798576902026,94.53749315818281,2,"{2021: np.float64(84.0), 2022: np.float64(101.20473022912047), 2023: np.float64(113.53302611367127), 2024: np.float64(92.42641209228321), 2025: np.float64(87.57437070938215)}"
軸gap>=2.0 軸<10倍 馬単表 相手上位2,1176,31,2.6360544217687076,94.36224489795919,2,"{2021: np.float64(136.78899082568807), 2022: np.float64(61.58653846153846), 2023: np.float64(132.15384615384616), 2024: np.float64(71.75675675675676), 2025: np.float64(42.20472440944882)}"
軸gap>=2.0 馬連 相手上位2,3782,75,1.9830777366472767,94.06134320465362,1,"{2021: np.float64(89.72897196261682), 2022: np.float64(167.38666666666666), 2023: np.float64(94.83928571428571), 2024: np.float64(36.61825726141079), 2025: np.float64(68.94565217391305)}"
軸gap>=1.5 ワイド 相手上位2,14270,1154,8.086895585143658,93.54940434477926,2,"{2021: np.float64(97.8703186137507), 2022: np.float64(107.06451612903226), 2023: np.float64(104.16602907421576), 2024: np.float64(79.22184006878761), 2025: np.float64(77.4814314652262)}"
軸gap>=1.5 軸<10倍 ワイド 相手上位2,6866,856,12.467229828138654,93.20856393824643,2,"{2021: np.float64(78.45464135021098), 2022: np.float64(107.13258785942492), 2023: np.float64(107.94069192751236), 2024: np.float64(88.42327150084317), 2025: np.float64(91.94233687405159)}"
軸gap>=1.5 軸<10倍 馬単裏 相手gap>=1.0,7308,131,1.7925561029009305,93.0008210180624,2,"{2021: np.float64(63.83213429256595), 2022: np.float64(130.99039172209905), 2023: np.float64(65.33026113671275), 2024: np.float64(70.0), 2025: np.float64(149.71777269260107)}"
軸gap>=1.5 馬連 相手上位2,14270,466,3.265592151366503,92.770847932726,2,"{2021: np.float64(80.39966461710453), 2022: np.float64(130.8709677419355), 2023: np.float64(100.63886763580719), 2024: np.float64(65.77815993121239), 2025: np.float64(86.08035111411209)}"
軸gap>=1.5 ワイド 相手上位3,21405,1672,7.811259051623452,92.20929689324925,1,"{2021: np.float64(91.23160052170672), 2022: np.float64(107.94743130227002), 2023: np.float64(96.92680438663606), 2024: np.float64(88.80768128403554), 2025: np.float64(77.07404906594643)}"
軸gap>=1.5 軸<10倍 ワイド 相手上位3,10299,1248,12.117681328284299,91.60695213127488,1,"{2021: np.float64(79.19127988748242), 2022: np.float64(95.34078807241747), 2023: np.float64(100.76880834706205), 2024: np.float64(92.11354693648117), 2025: np.float64(97.0257966616085)}"
軸gap>=1.5 馬単裏 相手gap>=1.0,21356,231,1.0816632328151339,90.61949803333958,3,"{2021: np.float64(102.43724851504119), 2022: np.float64(102.72350230414746), 2023: np.float64(108.07635101636093), 2024: np.float64(52.324150058616645), 2025: np.float64(78.2165019535739)}"
軸gap>=1.5 馬単裏 相手上位2,14270,210,1.4716187806587244,90.55571128241066,3,"{2021: np.float64(54.60592509782001), 2022: np.float64(131.27598566308242), 2023: np.float64(106.59143075745983), 2024: np.float64(55.30524505588994), 2025: np.float64(109.15597569209993)}"
軸gap>=2.0 軸<10倍 ワイド 相手gap>=1.3,300,24,8.0,89.73333333333333,2,"{2021: np.float64(106.40718562874251), 2022: np.float64(116.97674418604652), 2023: np.float64(54.23076923076923), 2024: np.float64(0.0), 2025: np.float64(63.02325581395349)}"
軸gap>=2.0 馬単裏 相手上位2,3782,32,0.8461131676361713,89.37599153886832,2,"{2021: np.float64(52.51401869158879), 2022: np.float64(185.58666666666667), 2023: np.float64(106.19642857142857), 2024: np.float64(15.33195020746888), 2025: np.float64(82.3695652173913)}"
軸gap>=1.5 ワイド 相手gap>=1.0,21356,1176,5.506649185240682,88.69638509084098,1,"{2021: np.float64(93.84748036022226), 2022: np.float64(100.43087557603687), 2023: np.float64(92.04015865146256), 2024: np.float64(91.16354044548652), 2025: np.float64(65.77798207308665)}"
軸gap>=1.5 軸<10倍 複勝,3433,1724,50.218467812408974,88.48820273812991,0,"{2021: np.float64(89.81012658227849), 2022: np.float64(84.53674121405751), 2023: np.float64(89.34102141680395), 2024: np.float64(93.13659359190557), 2025: np.float64(85.37177541729893)}"
軸gap>=1.5 軸<10倍 馬単裏 相手上位2,6866,140,2.03903291581707,87.71337023011942,2,"{2021: np.float64(52.188818565400844), 2022: np.float64(139.69648562300318), 2023: np.float64(59.88467874794069), 2024: np.float64(60.4468802698145), 2025: np.float64(139.60546282245826)}"
軸gap>=2.0 軸<10倍 ワイド 相手上位2,1176,123,10.459183673469388,86.93877551020408,1,"{2021: np.float64(105.5045871559633), 2022: np.float64(79.08653846153847), 2023: np.float64(50.84615384615385), 2024: np.float64(65.20270270270271), 2025: np.float64(92.63779527559055)}"
軸gap>=1.5 複勝,7135,2290,32.09530483531885,86.58724597056762,0,"{2021: np.float64(93.8848518725545), 2022: np.float64(86.9605734767025), 2023: np.float64(84.46059678653404), 2024: np.float64(87.84178847807395), 2025: np.float64(78.31195138419986)}"
軸gap>=1.5 軸<10倍 馬単裏 相手上位3,10299,214,2.077871638023109,85.59568890183513,2,"{2021: np.float64(58.37201125175809), 2022: np.float64(113.66347177848775), 2023: np.float64(57.20483250961011), 2024: np.float64(95.70545250140529), 2025: np.float64(115.14921598381386)}"
軸gap>=1.5 馬単裏 相手上位3,21405,307,1.434244335435646,85.2497080121467,1,"{2021: np.float64(63.994782932737095), 2022: np.float64(114.07168458781362), 2023: np.float64(93.63172660035706), 2024: np.float64(73.68586987675552), 2025: np.float64(85.46027458924151)}"
軸gap>=2.0 馬単表 相手上位2,3782,43,1.1369645690111052,84.96298254891592,2,"{2021: np.float64(109.17757009345794), 2022: np.float64(118.69333333333333), 2023: np.float64(48.625), 2024: np.float64(61.20331950207469), 2025: np.float64(63.869565217391305)}"
軸gap>=1.5 馬単表 相手上位2,14270,258,1.8079887876664331,84.83812193412754,1,"{2021: np.float64(97.35326998323086), 2022: np.float64(122.18996415770609), 2023: np.float64(67.5248661055853), 2024: np.float64(73.31040412725709), 2025: np.float64(58.86900742741391)}"
軸gap>=2.0 軸<10倍 馬連 相手gap>=1.0,1030,38,3.6893203883495143,83.45631067961165,1,"{2021: np.float64(87.43181818181819), 2022: np.float64(73.05555555555556), 2023: np.float64(91.86274509803921), 2024: np.float64(116.53225806451613), 2025: np.float64(57.17391304347826)}"
軸gap>=2.0 軸<10倍 ワイド 相手gap>=1.0,1030,87,8.446601941747572,79.69902912621359,1,"{2021: np.float64(102.1590909090909), 2022: np.float64(87.55555555555556), 2023: np.float64(55.88235294117647), 2024: np.float64(56.854838709677416), 2025: np.float64(46.90217391304348)}"
軸gap>=2.0 馬単裏 相手上位3,5673,53,0.934249955931606,75.5385157764851,1,"{2021: np.float64(48.373831775700936), 2022: np.float64(147.8488888888889), 2023: np.float64(94.71428571428571), 2024: np.float64(22.033195020746888), 2025: np.float64(64.54347826086956)}"
軸gap>=2.0 軸<10倍 馬連 相手上位2,1176,43,3.6564625850340136,70.64625850340136,0,"{2021: np.float64(95.29816513761467), 2022: np.float64(51.34615384615385), 2023: np.float64(72.92307692307692), 2024: np.float64(66.62162162162163), 2025: np.float64(45.31496062992126)}"
軸gap>=2.0 軸<10倍 馬単表 相手gap>=1.3,300,5,1.6666666666666667,69.96666666666667,0,"{2021: np.float64(95.08982035928143), 2022: np.float64(0.0), 2023: np.float64(80.38461538461539), 2024: np.float64(0.0), 2025: np.float64(70.23255813953489)}"
軸gap>=1.5 馬連 相手gap>=1.6,1089,11,1.0101010101010102,68.18181818181819,1,"{2021: np.float64(70.34313725490196), 2022: np.float64(17.695652173913043), 2023: np.float64(0.0), 2024: np.float64(75.44554455445545), 2025: np.float64(167.62376237623764)}"
軸gap>=2.0 軸<10倍 馬単裏 相手gap>=1.0,1030,16,1.5533980582524272,57.601941747572816,1,"{2021: np.float64(60.04545454545455), 2022: np.float64(0.0), 2023: np.float64(86.76470588235294), 2024: np.float64(118.79032258064517), 2025: np.float64(50.70652173913044)}"
軸gap>=2.0 軸<10倍 馬連 相手gap>=1.3,300,8,2.666666666666667,51.6,1,"{2021: np.float64(59.34131736526946), 2022: np.float64(0.0), 2023: np.float64(154.6153846153846), 2024: np.float64(0.0), 2025: np.float64(36.04651162790697)}"
軸gap>=2.0 馬単表 相手gap>=1.6,602,3,0.4983388704318937,48.45514950166113,1,"{2021: np.float64(114.69298245614036), 2022: np.float64(0.0), 2023: np.float64(0.0), 2024: np.float64(0.0), 2025: np.float64(24.35483870967742)}"
軸gap>=2.0 軸<10倍 馬単裏 相手上位3,1764,27,1.530612244897959,48.02154195011338,1,"{2021: np.float64(44.77064220183486), 2022: np.float64(17.724358974358974), 2023: np.float64(103.02564102564102), 2024: np.float64(71.75675675675676), 2025: np.float64(36.43044619422572)}"
軸gap>=2.0 軸<10倍 馬単裏 相手gap>=1.3,300,3,1.0,43.03333333333333,1,"{2021: np.float64(24.311377245508982), 2022: np.float64(0.0), 2023: np.float64(340.38461538461536), 2024: np.float64(0.0), 2025: np.float64(0.0)}"
軸gap>=1.5 軸<10倍 馬単表 相手gap>=1.6,205,2,0.975609756097561,40.19512195121951,0,"{2021: np.float64(55.53191489361702), 2022: np.float64(0.0), 2025: np.float64(77.43589743589743)}"
軸gap>=1.5 馬単表 相手gap>=1.6,1089,4,0.3673094582185491,38.925619834710744,0,"{2021: np.float64(96.49509803921569), 2022: np.float64(0.0), 2023: np.float64(0.0), 2024: np.float64(0.0), 2025: np.float64(14.950495049504951)}"
軸gap>=2.0 軸<10倍 馬単裏 相手上位2,1176,12,1.0204081632653061,27.329931972789115,0,"{2021: np.float64(29.655963302752294), 2022: np.float64(18.125), 2023: np.float64(0.0), 2024: np.float64(49.932432432432435), 2025: np.float64(31.69291338582677)}"
軸gap>=2.0 馬連 相手gap>=1.6,602,3,0.4983388704318937,23.039867109634553,0,"{2021: np.float64(54.03508771929825), 2022: np.float64(0.0), 2023: np.float64(0.0), 2024: np.float64(0.0), 2025: np.float64(12.5)}"
軸gap>=2.0 馬単裏 相手gap>=1.6,602,0,0.0,0.0,0,"{2021: np.float64(0.0), 2022: np.float64(0.0), 2023: np.float64(0.0), 2024: np.float64(0.0), 2025: np.float64(0.0)}"
