race_id,馬名,着順_num,予測スコア,予測順位,単勝オッズ,人気,勝ち確率,単勝期待値
202504040407,ディヴァインスター,1.0,0.3262818665051204,1.0,4.5,1.0,0.3262818665051204,0.46826839927304187
202504040407,ヤエギリ,4.0,0.1884115550879699,2.0,6.2,4.0,0.1884115550879699,0.1681516415454134
202504040407,コスモレオナルド,7.0,0.11405746480053629,3.0,12.8,6.0,0.11405746480053629,0.45993554944686466
202504040407,ダノンジャイアン,3.0,0.10511339822494194,4.0,13.6,7.0,0.10511339822494194,0.4295422158592104
202504040407,レベルスルール,2.0,0.058635492185098004,5.0,5.7,3.0,0.058635492185098004,-0.6657776945449414
202504040407,コイヌール,12.0,0.056404363892859376,6.0,122.6,15.0,0.056404363892859376,5.915175013264559
202504040407,アスクメークシェア,15.0,0.022915652490910654,7.0,48.4,12.0,0.022915652490910654,0.1091175805600757
202504040407,メイショウキンタイ,6.0,0.015636185666977685,8.0,7.1,5.0,0.015636185666977685,-0.8889830817644584
202504040407,ウールデュボヌール,8.0,0.011235105579869165,9.0,36.9,11.0,0.011235105579869165,-0.5854246041028278
202504040407,トーマステソーロ,13.0,0.008927791396199515,10.0,88.5,13.0,0.008927791396199515,-0.20989046143634293
202504040407,ホウオウレイヴン,9.0,0.007583798407854763,11.0,5.2,2.0,0.007583798407854763,-0.9605642482791552
202504040407,コスモアチーブ,10.0,0.004299009842219273,12.0,16.6,8.0,0.004299009842219273,-0.9286364366191601
202504040407,イサムダイヤモンド,11.0,1.8597967766750115e-06,13.0,26.5,10.0,1.8597967766750115e-06,-0.9999507153854181
202504040407,メイショウアゴナス,14.0,1.6673372450589863e-06,14.0,108.7,14.0,1.6673372450589863e-06,-0.9998187604414621
202504040407,スワローサプライズ,5.0,1.3655285561592864e-06,15.0,22.7,9.0,1.3655285561592864e-06,-0.9999690025017752
202504040408,テーオーマルコーニ,1.0,0.3604587563216934,1.0,1.6,1.0,0.3604587563216934,-0.4232659898852905
202504040408,バースライト,10.0,0.16007558274538858,2.0,4.4,2.0,0.16007558274538858,-0.2956674359202902
202504040408,ブリスフル,12.0,0.11163710242381288,3.0,46.7,8.0,0.11163710242381288,4.213452683192061
202504040408,パッカパッカブー,7.0,0.08202859659265441,4.0,45.8,7.0,0.08202859659265441,2.7569097239435716
202504040408,ショウナンサエッタ,4.0,0.0738547312025643,5.0,15.4,6.0,0.0738547312025643,0.13736286051949032
202504040408,ロジリッキー,8.0,0.012027615451679761,6.0,54.3,9.0,0.012027615451679761,-0.346900480973789
202504040408,ロミヒ,9.0,0.005400080990037449,7.0,10.5,3.0,0.005400080990037449,-0.9432991496046068
202504040408,ラマンシュ,2.0,0.004629001586283293,8.0,64.6,11.0,0.004629001586283293,-0.7009664975260993
202504040408,エポカリーナ,5.0,0.0018436556206349642,9.0,63.7,10.0,0.0018436556206349642,-0.8825591369655528
202504040408,シャンハイナイト,6.0,0.00160403419920616,10.0,12.7,4.0,0.00160403419920616,-0.9796287656700817
202504040408,ピストルスター,3.0,0.0007424091844520883,11.0,15.1,5.0,0.0007424091844520883,-0.9887896213147734
202504040408,オウケンヴィーナス,11.0,1.9523743542021203e-06,12.0,190.1,12.0,1.9523743542021203e-06,-0.9996288536352662
