券種,レース条件,馬の条件,オッズ,人気,点数,的中,回収率,最悪年,最良年,100%超の年数
複勝,短距離-1400,MF複勝1位,5-10倍,3番人気以内,591,228,78.2,67.4,104.2,1
単勝,短距離-1400,MF複勝1位,10-20倍,人気不問,205,14,82.3,0.0,170.0,2
複勝,短距離-1400,MF複勝1位,10-20倍,人気不問,205,59,91.9,62.0,129.0,2
単勝,短距離-1400,MF複勝1位,10-20倍,4番人気以下,204,14,82.7,0.0,170.0,2
複勝,短距離-1400,MF複勝1位,10-20倍,4番人気以下,204,59,92.4,62.0,129.0,2
単勝,短距離-1400,MF複勝1位,〜10倍,人気不問,5108,1427,80.6,74.1,88.6,0
複勝,短距離-1400,MF複勝1位,〜10倍,人気不問,5108,2944,83.1,77.6,89.7,0
単勝,短距離-1400,MF複勝1位,〜10倍,4番人気以下,399,40,70.6,55.0,78.5,0
複勝,短距離-1400,MF複勝1位,〜10倍,4番人気以下,399,142,78.3,65.4,98.6,0
単勝,短距離-1400,MF複勝1位,〜10倍,3番人気以内,4709,1387,81.5,73.7,89.7,0
複勝,短距離-1400,MF複勝1位,〜10倍,3番人気以内,4709,2802,83.5,78.7,91.8,0
単勝,短距離-1400,MF複勝1位,〜20倍,人気不問,5313,1441,80.7,71.5,91.6,0
複勝,短距離-1400,MF複勝1位,〜20倍,人気不問,5313,3003,83.4,76.9,89.3,0
単勝,短距離-1400,MF複勝1位,〜20倍,4番人気以下,603,54,74.7,47.4,106.5,1
複勝,短距離-1400,MF複勝1位,〜20倍,4番人気以下,603,201,83.1,64.2,109.7,1
単勝,短距離-1400,MF複勝1位,〜20倍,6番人気以下,157,9,70.8,0.0,163.5,2
複勝,短距離-1400,MF複勝1位,〜20倍,6番人気以下,157,46,96.9,73.7,141.0,1
単勝,短距離-1400,MF複勝1位,〜20倍,3番人気以内,4710,1387,81.4,73.7,89.7,0
複勝,短距離-1400,MF複勝1位,〜20倍,3番人気以内,4710,2802,83.5,78.7,91.8,0
単勝,短距離-1400,MF複勝2位以内,〜5倍,人気不問,6695,1974,82.8,78.3,86.7,0
複勝,短距離-1400,MF複勝2位以内,〜5倍,人気不問,6695,4089,85.2,83.3,89.6,0
単勝,短距離-1400,MF複勝2位以内,〜5倍,3番人気以内,6677,1972,82.9,78.6,86.8,0
複勝,短距離-1400,MF複勝2位以内,〜5倍,3番人気以内,6677,4076,85.1,83.2,89.7,0
単勝,短距離-1400,MF複勝2位以内,5-10倍,人気不問,2963,374,80.5,69.0,88.5,0
複勝,短距離-1400,MF複勝2位以内,5-10倍,人気不問,2963,1164,80.6,72.6,85.1,0
単勝,短距離-1400,MF複勝2位以内,5-10倍,4番人気以下,1145,124,79.8,57.7,94.5,0
複勝,短距離-1400,MF複勝2位以内,5-10倍,4番人気以下,1145,405,78.8,68.0,85.6,0
単勝,短距離-1400,MF複勝2位以内,5-10倍,3番人気以内,1818,250,81.0,74.1,89.6,0
複勝,短距離-1400,MF複勝2位以内,5-10倍,3番人気以内,1818,759,81.8,75.5,91.8,0
単勝,短距離-1400,MF複勝2位以内,10-20倍,人気不問,825,48,73.6,58.1,96.1,0
複勝,短距離-1400,MF複勝2位以内,10-20倍,人気不問,825,218,82.8,64.7,100.1,1
単勝,短距離-1400,MF複勝2位以内,10-20倍,4番人気以下,790,46,73.6,54.3,100.9,1
複勝,短距離-1400,MF複勝2位以内,10-20倍,4番人気以下,790,201,80.3,61.3,95.7,0
単勝,短距離-1400,MF複勝2位以内,10-20倍,6番人気以下,438,21,64.7,10.9,98.8,0
複勝,短距離-1400,MF複勝2位以内,10-20倍,6番人気以下,438,101,80.2,57.7,101.2,1
単勝,短距離-1400,MF複勝2位以内,20-50倍,人気不問,233,6,64.8,0.0,127.3,1
複勝,短距離-1400,MF複勝2位以内,20-50倍,人気不問,233,32,78.5,43.6,108.9,1
単勝,短距離-1400,MF複勝2位以内,20-50倍,4番人気以下,233,6,64.8,0.0,127.3,1
複勝,短距離-1400,MF複勝2位以内,20-50倍,4番人気以下,233,32,78.5,43.6,108.9,1
単勝,短距離-1400,MF複勝2位以内,20-50倍,6番人気以下,221,5,59.3,0.0,132.4,1
複勝,短距離-1400,MF複勝2位以内,20-50倍,6番人気以下,221,30,77.6,39.1,108.9,1
単勝,短距離-1400,MF複勝2位以内,〜10倍,人気不問,9658,2348,82.1,77.5,86.4,0
複勝,短距離-1400,MF複勝2位以内,〜10倍,人気不問,9658,5253,83.8,79.8,88.4,0
単勝,短距離-1400,MF複勝2位以内,〜10倍,4番人気以下,1163,126,79.4,57.0,97.5,0
複勝,短距離-1400,MF複勝2位以内,〜10倍,4番人気以下,1163,418,79.4,68.3,86.6,0
単勝,短距離-1400,MF複勝2位以内,〜10倍,3番人気以内,8495,2222,82.5,77.6,87.3,0
複勝,短距離-1400,MF複勝2位以内,〜10倍,3番人気以内,8495,4835,84.4,81.5,90.1,0
単勝,短距離-1400,MF複勝2位以内,〜20倍,人気不問,10483,2396,81.4,76.2,87.1,0
複勝,短距離-1400,MF複勝2位以内,〜20倍,人気不問,10483,5471,83.7,80.7,86.7,0
単勝,短距離-1400,MF複勝2位以内,〜20倍,4番人気以下,1953,172,77.0,58.6,90.6,0
複勝,短距離-1400,MF複勝2位以内,〜20倍,4番人気以下,1953,619,79.8,69.9,90.1,0
単勝,短距離-1400,MF複勝2位以内,〜20倍,6番人気以下,503,25,63.2,24.4,87.2,0
複勝,短距離-1400,MF複勝2位以内,〜20倍,6番人気以下,503,124,82.4,59.7,100.0,1
単勝,短距離-1400,MF複勝2位以内,〜20倍,3番人気以内,8530,2224,82.4,78.2,87.0,0
複勝,短距離-1400,MF複勝2位以内,〜20倍,3番人気以内,8530,4852,84.6,81.9,90.2,0
単勝,短距離-1400,MF複勝3位以内,〜5倍,人気不問,8132,2284,81.9,78.5,84.4,0
複勝,短距離-1400,MF複勝3位以内,〜5倍,人気不問,8132,4879,85.1,83.1,87.8,0
単勝,短距離-1400,MF複勝3位以内,〜5倍,3番人気以内,8108,2280,81.9,78.8,84.3,0
複勝,短距離-1400,MF複勝3位以内,〜5倍,3番人気以内,8108,4862,85.0,83.1,87.8,0
単勝,短距離-1400,MF複勝3位以内,5-10倍,人気不問,5184,631,79.4,73.3,83.1,0
複勝,短距離-1400,MF複勝3位以内,5-10倍,人気不問,5184,1974,79.1,76.6,82.8,0
単勝,短距離-1400,MF複勝3位以内,5-10倍,4番人気以下,2145,232,80.6,71.5,94.2,0
複勝,短距離-1400,MF複勝3位以内,5-10倍,4番人気以下,2145,755,78.6,72.8,86.0,0
単勝,短距離-1400,MF複勝3位以内,5-10倍,3番人気以内,3039,399,78.6,73.1,86.6,0
複勝,短距離-1400,MF複勝3位以内,5-10倍,3番人気以内,3039,1219,79.5,75.7,82.5,0
単勝,短距離-1400,MF複勝3位以内,10-20倍,人気不問,2073,130,83.1,76.2,100.0,1
複勝,短距離-1400,MF複勝3位以内,10-20倍,人気不問,2073,532,81.1,74.1,86.7,0
単勝,短距離-1400,MF複勝3位以内,10-20倍,4番人気以下,1978,126,84.7,77.4,98.1,0
複勝,短距離-1400,MF複勝3位以内,10-20倍,4番人気以下,1978,498,80.1,71.7,85.9,0
単勝,短距離-1400,MF複勝3位以内,10-20倍,6番人気以下,1017,58,82.2,50.4,118.2,1
複勝,短距離-1400,MF複勝3位以内,10-20倍,6番人気以下,1017,221,75.4,62.9,89.0,0
単勝,短距離-1400,MF複勝3位以内,20-50倍,人気不問,640,18,69.1,50.6,90.7,0
複勝,短距離-1400,MF複勝3位以内,20-50倍,人気不問,640,104,84.0,51.3,98.8,0
単勝,短距離-1400,MF複勝3位以内,20-50倍,4番人気以下,640,18,69.1,50.6,90.7,0
複勝,短距離-1400,MF複勝3位以内,20-50倍,4番人気以下,640,104,84.0,51.3,98.8,0
単勝,短距離-1400,MF複勝3位以内,20-50倍,6番人気以下,596,16,67.4,38.1,96.5,0
複勝,短距離-1400,MF複勝3位以内,20-50倍,6番人気以下,596,93,81.3,51.1,98.4,0
単勝,短距離-1400,MF複勝3位以内,〜10倍,人気不問,13316,2915,80.9,76.5,83.6,0
複勝,短距離-1400,MF複勝3位以内,〜10倍,人気不問,13316,6853,82.7,80.4,84.2,0
単勝,短距離-1400,MF複勝3位以内,〜10倍,4番人気以下,2169,236,80.6,70.6,93.0,0
複勝,短距離-1400,MF複勝3位以内,〜10倍,4番人気以下,2169,772,79.0,73.0,86.1,0
単勝,短距離-1400,MF複勝3位以内,〜10倍,3番人気以内,11147,2679,81.0,77.7,84.9,0
複勝,短距離-1400,MF複勝3位以内,〜10倍,3番人気以内,11147,6081,83.5,81.9,86.4,0
単勝,短距離-1400,MF複勝3位以内,〜20倍,人気不問,15389,3045,81.2,76.5,85.8,0
複勝,短距離-1400,MF複勝3位以内,〜20倍,人気不問,15389,7385,82.5,80.8,83.5,0
単勝,短距離-1400,MF複勝3位以内,〜20倍,4番人気以下,4147,362,82.5,73.8,92.5,0
複勝,短距離-1400,MF複勝3位以内,〜20倍,4番人気以下,4147,1270,79.5,72.4,86.0,0
単勝,短距離-1400,MF複勝3位以内,〜20倍,6番人気以下,1138,67,80.1,54.3,107.0,1
複勝,短距離-1400,MF複勝3位以内,〜20倍,6番人気以下,1138,264,77.4,63.4,90.6,0
単勝,短距離-1400,MF複勝3位以内,〜20倍,3番人気以内,11242,2683,80.7,77.5,84.6,0
複勝,短距離-1400,MF複勝3位以内,〜20倍,3番人気以内,11242,6115,83.6,81.9,86.6,0
単勝,短距離-1400,MF複勝5位以内,〜5倍,人気不問,9356,2546,81.7,77.8,84.5,0
複勝,短距離-1400,MF複勝5位以内,〜5倍,人気不問,9356,5514,84.8,83.4,87.5,0
単勝,短距離-1400,MF複勝5位以内,〜5倍,3番人気以内,9322,2540,81.7,78.0,83.9,0
複勝,短距離-1400,MF複勝5位以内,〜5倍,3番人気以内,9322,5490,84.6,83.2,87.4,0
単勝,短距離-1400,MF複勝5位以内,5-10倍,人気不問,8714,1021,78.5,74.3,83.5,0
複勝,短距離-1400,MF複勝5位以内,5-10倍,人気不問,8714,3249,79.5,77.8,80.9,0
単勝,短距離-1400,MF複勝5位以内,5-10倍,4番人気以下,4134,438,80.1,73.7,93.6,0
複勝,短距離-1400,MF複勝5位以内,5-10倍,4番人気以下,4134,1447,79.3,76.6,84.3,0
単勝,短距離-1400,MF複勝5位以内,5-10倍,6番人気以下,250,22,74.8,34.0,162.4,1
複勝,短距離-1400,MF複勝5位以内,5-10倍,6番人気以下,250,82,86.7,56.0,122.2,2
単勝,短距離-1400,MF複勝5位以内,5-10倍,3番人気以内,4580,583,77.1,71.7,81.7,0
複勝,短距離-1400,MF複勝5位以内,5-10倍,3番人気以内,4580,1802,79.7,77.8,82.5,0
単勝,短距離-1400,MF複勝5位以内,10-20倍,人気不問,5526,323,78.3,65.0,91.9,0
複勝,短距離-1400,MF複勝5位以内,10-20倍,人気不問,5526,1341,78.4,72.8,88.5,0
単勝,短距離-1400,MF複勝5位以内,10-20倍,4番人気以下,5343,314,79.0,65.5,93.9,0
複勝,短距離-1400,MF複勝5位以内,10-20倍,4番人気以下,5343,1275,77.5,70.2,87.3,0
単勝,短距離-1400,MF複勝5位以内,10-20倍,6番人気以下,2847,163,82.7,49.0,99.6,0
複勝,短距離-1400,MF複勝5位以内,10-20倍,6番人気以下,2847,615,77.0,65.7,92.1,0
単勝,短距離-1400,MF複勝5位以内,10-20倍,3番人気以内,183,9,56.8,0.0,108.4,1
複勝,短距離-1400,MF複勝5位以内,10-20倍,3番人気以内,183,66,104.8,79.4,133.0,2
単勝,短距離-1400,MF複勝5位以内,20-50倍,人気不問,2685,67,69.8,57.1,83.2,0
複勝,短距離-1400,MF複勝5位以内,20-50倍,人気不問,2685,369,73.4,55.8,86.1,0
単勝,短距離-1400,MF複勝5位以内,20-50倍,4番人気以下,2684,67,69.8,57.2,83.2,0
複勝,短距離-1400,MF複勝5位以内,20-50倍,4番人気以下,2684,368,73.3,55.5,86.1,0
単勝,短距離-1400,MF複勝5位以内,20-50倍,6番人気以下,2469,62,71.6,49.4,90.6,0
複勝,短距離-1400,MF複勝5位以内,20-50倍,6番人気以下,2469,325,73.1,54.6,86.0,0
単勝,短距離-1400,MF複勝5位以内,〜10倍,人気不問,18070,3567,80.2,76.2,82.1,0
複勝,短距離-1400,MF複勝5位以内,〜10倍,人気不問,18070,8763,82.2,81.6,83.7,0
単勝,短距離-1400,MF複勝5位以内,〜10倍,4番人気以下,4168,444,80.1,75.1,92.9,0
複勝,短距離-1400,MF複勝5位以内,〜10倍,4番人気以下,4168,1471,79.6,76.7,84.3,0
単勝,短距離-1400,MF複勝5位以内,〜10倍,6番人気以下,250,22,74.8,34.0,162.4,1
複勝,短距離-1400,MF複勝5位以内,〜10倍,6番人気以下,250,82,86.7,56.0,122.2,2
単勝,短距離-1400,MF複勝5位以内,〜10倍,3番人気以内,13902,3123,80.2,76.0,83.1,0
複勝,短距離-1400,MF複勝5位以内,〜10倍,3番人気以内,13902,7292,83.0,81.9,85.1,0
単勝,短距離-1400,MF複勝5位以内,〜20倍,人気不問,23596,3890,79.8,75.0,84.4,0
複勝,短距離-1400,MF複勝5位以内,〜20倍,人気不問,23596,10104,81.3,79.7,83.9,0
単勝,短距離-1400,MF複勝5位以内,〜20倍,4番人気以下,9511,758,79.5,70.8,93.5,0
複勝,短距離-1400,MF複勝5位以内,〜20倍,4番人気以下,9511,2746,78.4,74.1,86.0,0
単勝,短距離-1400,MF複勝5位以内,〜20倍,6番人気以下,3097,185,82.1,49.7,95.5,0
複勝,短距離-1400,MF複勝5位以内,〜20倍,6番人気以下,3097,697,77.8,66.0,88.9,0
単勝,短距離-1400,MF複勝5位以内,〜20倍,3番人気以内,14085,3132,79.9,76.1,83.4,0
複勝,短距離-1400,MF複勝5位以内,〜20倍,3番人気以内,14085,7358,83.3,82.0,85.9,0
単勝,重賞級クラス5+,MF複勝1位,〜5倍,人気不問,889,269,84.4,76.8,94.8,0
複勝,重賞級クラス5+,MF複勝1位,〜5倍,人気不問,889,528,82.9,74.9,87.7,0
単勝,重賞級クラス5+,MF複勝1位,〜5倍,3番人気以内,888,269,84.5,76.8,94.8,0
複勝,重賞級クラス5+,MF複勝1位,〜5倍,3番人気以内,888,527,82.8,74.4,87.7,0
単勝,重賞級クラス5+,MF複勝1位,5-10倍,人気不問,321,35,68.3,45.1,98.1,0
複勝,重賞級クラス5+,MF複勝1位,5-10倍,人気不問,321,125,85.6,68.0,90.0,0
単勝,重賞級クラス5+,MF複勝1位,5-10倍,3番人気以内,203,27,79.2,60.3,94.7,0
複勝,重賞級クラス5+,MF複勝1位,5-10倍,3番人気以内,203,84,86.2,66.9,112.6,1
単勝,重賞級クラス5+,MF複勝1位,〜10倍,人気不問,1210,304,80.1,67.6,89.0,0
複勝,重賞級クラス5+,MF複勝1位,〜10倍,人気不問,1210,653,83.6,73.2,87.9,0
単勝,重賞級クラス5+,MF複勝1位,〜10倍,3番人気以内,1091,296,83.5,74.4,94.8,0
複勝,重賞級クラス5+,MF複勝1位,〜10倍,3番人気以内,1091,611,83.4,73.0,89.5,0
単勝,重賞級クラス5+,MF複勝1位,〜20倍,人気不問,1290,312,83.3,74.6,93.0,0
複勝,重賞級クラス5+,MF複勝1位,〜20倍,人気不問,1290,673,84.0,73.5,90.6,0
単勝,重賞級クラス5+,MF複勝1位,〜20倍,4番人気以下,198,16,82.6,37.0,110.4,2
複勝,重賞級クラス5+,MF複勝1位,〜20倍,4番人気以下,198,62,87.7,48.2,121.1,2
単勝,重賞級クラス5+,MF複勝1位,〜20倍,3番人気以内,1092,296,83.4,74.4,94.8,0
複勝,重賞級クラス5+,MF複勝1位,〜20倍,3番人気以内,1092,611,83.4,72.7,89.5,0
単勝,重賞級クラス5+,MF複勝2位以内,〜5倍,人気不問,1444,405,83.8,77.2,98.4,0
複勝,重賞級クラス5+,MF複勝2位以内,〜5倍,人気不問,1444,846,83.7,77.7,91.1,0
単勝,重賞級クラス5+,MF複勝2位以内,〜5倍,3番人気以内,1442,405,83.9,77.4,98.4,0
複勝,重賞級クラス5+,MF複勝2位以内,〜5倍,3番人気以内,1442,845,83.7,77.5,91.1,0
単勝,重賞級クラス5+,MF複勝2位以内,5-10倍,人気不問,845,98,74.9,54.7,92.6,0
複勝,重賞級クラス5+,MF複勝2位以内,5-10倍,人気不問,845,322,82.4,73.2,92.4,0
単勝,重賞級クラス5+,MF複勝2位以内,5-10倍,4番人気以下,320,30,70.3,27.3,105.9,1
複勝,重賞級クラス5+,MF複勝2位以内,5-10倍,4番人気以下,320,98,72.8,57.3,87.6,0
単勝,重賞級クラス5+,MF複勝2位以内,5-10倍,3番人気以内,525,68,77.7,69.9,85.4,0
複勝,重賞級クラス5+,MF複勝2位以内,5-10倍,3番人気以内,525,224,88.3,74.8,107.5,1
単勝,重賞級クラス5+,MF複勝2位以内,10-20倍,人気不問,253,15,83.1,57.0,112.3,2
複勝,重賞級クラス5+,MF複勝2位以内,10-20倍,人気不問,253,65,88.0,52.6,116.8,2
単勝,重賞級クラス5+,MF複勝2位以内,10-20倍,4番人気以下,242,15,86.9,57.0,122.5,2
複勝,重賞級クラス5+,MF複勝2位以内,10-20倍,4番人気以下,242,62,88.3,52.6,119.8,2
単勝,重賞級クラス5+,MF複勝2位以内,10-20倍,6番人気以下,154,11,104.9,61.9,183.0,3
複勝,重賞級クラス5+,MF複勝2位以内,10-20倍,6番人気以下,154,35,85.4,31.2,161.3,2
単勝,重賞級クラス5+,MF複勝2位以内,〜10倍,人気不問,2289,503,80.5,69.8,96.2,0
複勝,重賞級クラス5+,MF複勝2位以内,〜10倍,人気不問,2289,1168,83.2,76.2,89.0,0
単勝,重賞級クラス5+,MF複勝2位以内,〜10倍,4番人気以下,322,30,69.9,26.8,105.9,1
複勝,重賞級クラス5+,MF複勝2位以内,〜10倍,4番人気以下,322,99,72.8,59.2,87.6,0
単勝,重賞級クラス5+,MF複勝2位以内,〜10倍,3番人気以内,1967,473,82.2,75.6,94.5,0
複勝,重賞級クラス5+,MF複勝2位以内,〜10倍,3番人気以内,1967,1069,84.9,78.5,90.6,0
単勝,重賞級クラス5+,MF複勝2位以内,〜20倍,人気不問,2542,518,80.8,73.1,93.6,0
複勝,重賞級クラス5+,MF複勝2位以内,〜20倍,人気不問,2542,1233,83.7,79.0,89.1,0
単勝,重賞級クラス5+,MF複勝2位以内,〜20倍,4番人気以下,564,45,77.2,64.6,94.7,0
複勝,重賞級クラス5+,MF複勝2位以内,〜20倍,4番人気以下,564,161,79.4,69.7,86.2,0
単勝,重賞級クラス5+,MF複勝2位以内,〜20倍,6番人気以下,174,11,92.9,57.5,155.9,2
複勝,重賞級クラス5+,MF複勝2位以内,〜20倍,6番人気以下,174,41,85.6,49.3,145.9,1
単勝,重賞級クラス5+,MF複勝2位以内,〜20倍,3番人気以内,1978,473,81.8,74.8,93.3,0
複勝,重賞級クラス5+,MF複勝2位以内,〜20倍,3番人気以内,1978,1072,84.9,78.7,90.5,0
単勝,重賞級クラス5+,MF複勝3位以内,〜5倍,人気不問,1780,464,79.7,76.4,90.5,0
複勝,重賞級クラス5+,MF複勝3位以内,〜5倍,人気不問,1780,1009,81.6,77.6,85.6,0
単勝,重賞級クラス5+,MF複勝3位以内,〜5倍,3番人気以内,1776,464,79.9,76.6,90.7,0
複勝,重賞級クラス5+,MF複勝3位以内,〜5倍,3番人気以内,1776,1008,81.7,77.4,85.9,0
単勝,重賞級クラス5+,MF複勝3位以内,5-10倍,人気不問,1399,173,82.4,75.0,91.1,0
複勝,重賞級クラス5+,MF複勝3位以内,5-10倍,人気不問,1399,514,80.4,75.4,85.6,0
単勝,重賞級クラス5+,MF複勝3位以内,5-10倍,4番人気以下,591,68,87.9,71.8,96.7,0
複勝,重賞級クラス5+,MF複勝3位以内,5-10倍,4番人気以下,591,185,74.4,67.6,83.5,0
単勝,重賞級クラス5+,MF複勝3位以内,5-10倍,3番人気以内,808,105,78.4,59.1,92.7,0
複勝,重賞級クラス5+,MF複勝3位以内,5-10倍,3番人気以内,808,329,84.7,75.1,96.7,0
単勝,重賞級クラス5+,MF複勝3位以内,10-20倍,人気不問,541,32,83.0,66.8,101.0,1
複勝,重賞級クラス5+,MF複勝3位以内,10-20倍,人気不問,541,132,81.1,70.7,88.7,0
単勝,重賞級クラス5+,MF複勝3位以内,10-20倍,4番人気以下,521,32,86.2,67.9,104.4,1
複勝,重賞級クラス5+,MF複勝3位以内,10-20倍,4番人気以下,521,125,80.5,67.7,91.7,0
単勝,重賞級クラス5+,MF複勝3位以内,10-20倍,6番人気以下,317,19,87.4,61.0,136.9,1
複勝,重賞級クラス5+,MF複勝3位以内,10-20倍,6番人気以下,317,71,81.3,61.6,101.0,1
単勝,重賞級クラス5+,MF複勝3位以内,20-50倍,人気不問,182,3,49.7,0.0,134.7,1
複勝,重賞級クラス5+,MF複勝3位以内,20-50倍,人気不問,182,18,52.7,16.6,109.4,1
単勝,重賞級クラス5+,MF複勝3位以内,20-50倍,4番人気以下,182,3,49.7,0.0,134.7,1
複勝,重賞級クラス5+,MF複勝3位以内,20-50倍,4番人気以下,182,18,52.7,16.6,109.4,1
単勝,重賞級クラス5+,MF複勝3位以内,20-50倍,6番人気以下,176,3,51.4,0.0,138.4,2
複勝,重賞級クラス5+,MF複勝3位以内,20-50倍,6番人気以下,176,15,46.8,10.2,69.2,0
単勝,重賞級クラス5+,MF複勝3位以内,〜10倍,人気不問,3179,637,80.9,76.0,89.7,0
複勝,重賞級クラス5+,MF複勝3位以内,〜10倍,人気不問,3179,1523,81.0,76.7,84.3,0
単勝,重賞級クラス5+,MF複勝3位以内,〜10倍,4番人気以下,595,68,87.3,71.8,95.9,0
複勝,重賞級クラス5+,MF複勝3位以内,〜10倍,4番人気以下,595,186,74.2,68.6,82.8,0
単勝,重賞級クラス5+,MF複勝3位以内,〜10倍,3番人気以内,2584,569,79.4,72.6,88.2,0
複勝,重賞級クラス5+,MF複勝3位以内,〜10倍,3番人気以内,2584,1337,82.6,78.3,87.7,0
単勝,重賞級クラス5+,MF複勝3位以内,〜20倍,人気不問,3720,669,81.2,74.4,88.9,0
複勝,重賞級クラス5+,MF複勝3位以内,〜20倍,人気不問,3720,1655,81.0,77.9,83.7,0
単勝,重賞級クラス5+,MF複勝3位以内,〜20倍,4番人気以下,1116,100,86.8,69.9,99.2,0
複勝,重賞級クラス5+,MF複勝3位以内,〜20倍,4番人気以下,1116,311,77.1,73.5,81.3,0
単勝,重賞級クラス5+,MF複勝3位以内,〜20倍,6番人気以下,349,20,81.9,52.7,125.1,1
複勝,重賞級クラス5+,MF複勝3位以内,〜20倍,6番人気以下,349,79,80.6,64.4,96.8,0
単勝,重賞級クラス5+,MF複勝3位以内,〜20倍,3番人気以内,2604,569,78.8,72.2,87.0,0
複勝,重賞級クラス5+,MF複勝3位以内,〜20倍,3番人気以内,2604,1344,82.7,78.2,87.3,0
単勝,重賞級クラス5+,MF複勝5位以内,〜5倍,人気不問,2082,528,79.8,74.4,87.7,0
複勝,重賞級クラス5+,MF複勝5位以内,〜5倍,人気不問,2082,1160,81.3,76.9,83.9,0
単勝,重賞級クラス5+,MF複勝5位以内,〜5倍,3番人気以内,2074,528,80.1,74.6,88.1,0
複勝,重賞級クラス5+,MF複勝5位以内,〜5倍,3番人気以内,2074,1158,81.5,76.7,84.3,0
単勝,重賞級クラス5+,MF複勝5位以内,5-10倍,人気不問,2320,292,85.9,72.1,92.2,0
複勝,重賞級クラス5+,MF複勝5位以内,5-10倍,人気不問,2320,853,81.3,79.3,86.2,0
単勝,重賞級クラス5+,MF複勝5位以内,5-10倍,4番人気以下,1100,126,88.3,79.4,99.0,0
複勝,重賞級クラス5+,MF複勝5位以内,5-10倍,4番人気以下,1100,357,77.2,73.5,82.2,0
単勝,重賞級クラス5+,MF複勝5位以内,5-10倍,3番人気以内,1220,166,83.8,62.6,95.1,0
複勝,重賞級クラス5+,MF複勝5位以内,5-10倍,3番人気以内,1220,496,85.0,77.0,93.6,0
単勝,重賞級クラス5+,MF複勝5位以内,10-20倍,人気不問,1376,82,82.3,52.6,108.5,1
複勝,重賞級クラス5+,MF複勝5位以内,10-20倍,人気不問,1376,344,85.5,82.1,90.2,0
単勝,重賞級クラス5+,MF複勝5位以内,10-20倍,4番人気以下,1335,82,84.8,55.2,111.9,1
複勝,重賞級クラス5+,MF複勝5位以内,10-20倍,4番人気以下,1335,328,84.6,77.5,91.6,0
単勝,重賞級クラス5+,MF複勝5位以内,10-20倍,6番人気以下,807,50,90.2,55.3,121.6,2
複勝,重賞級クラス5+,MF複勝5位以内,10-20倍,6番人気以下,807,193,90.0,80.3,103.8,1
単勝,重賞級クラス5+,MF複勝5位以内,20-50倍,人気不問,645,15,74.3,34.6,129.9,1
複勝,重賞級クラス5+,MF複勝5位以内,20-50倍,人気不問,645,78,66.9,48.3,83.8,0
単勝,重賞級クラス5+,MF複勝5位以内,20-50倍,4番人気以下,645,15,74.3,34.6,129.9,1
複勝,重賞級クラス5+,MF複勝5位以内,20-50倍,4番人気以下,645,78,66.9,48.3,83.8,0
単勝,重賞級クラス5+,MF複勝5位以内,20-50倍,6番人気以下,611,15,78.4,35.8,138.7,1
複勝,重賞級クラス5+,MF複勝5位以内,20-50倍,6番人気以下,611,63,60.9,45.0,80.3,0
単勝,重賞級クラス5+,MF複勝5位以内,〜10倍,人気不問,4402,820,83.0,77.0,90.1,0
複勝,重賞級クラス5+,MF複勝5位以内,〜10倍,人気不問,4402,2013,81.3,78.2,85.1,0
単勝,重賞級クラス5+,MF複勝5位以内,〜10倍,4番人気以下,1108,126,87.7,79.0,98.2,0
複勝,重賞級クラス5+,MF複勝5位以内,〜10倍,4番人気以下,1108,359,76.9,72.9,81.5,0
単勝,重賞級クラス5+,MF複勝5位以内,〜10倍,3番人気以内,3294,694,81.5,75.6,87.2,0
複勝,重賞級クラス5+,MF複勝5位以内,〜10倍,3番人気以内,3294,1654,82.8,79.2,87.6,0
単勝,重賞級クラス5+,MF複勝5位以内,〜20倍,人気不問,5778,902,82.8,79.9,87.0,0
複勝,重賞級クラス5+,MF複勝5位以内,〜20倍,人気不問,5778,2357,82.3,80.5,85.2,0
単勝,重賞級クラス5+,MF複勝5位以内,〜20倍,4番人気以下,2443,208,86.1,75.7,99.3,0
複勝,重賞級クラス5+,MF複勝5位以内,〜20倍,4番人気以下,2443,687,81.1,77.5,84.3,0
単勝,重賞級クラス5+,MF複勝5位以内,〜20倍,6番人気以下,885,53,85.2,48.2,113.5,1
複勝,重賞級クラス5+,MF複勝5位以内,〜20倍,6番人気以下,885,209,87.4,76.2,101.8,1
単勝,重賞級クラス5+,MF複勝5位以内,〜20倍,3番人気以内,3335,694,80.5,74.6,85.6,0
複勝,重賞級クラス5+,MF複勝5位以内,〜20倍,3番人気以内,3335,1670,83.2,78.7,87.5,0
単勝,下級クラス1-2,MF複勝1位,〜5倍,人気不問,8864,2881,79.5,77.9,82.2,0
複勝,下級クラス1-2,MF複勝1位,〜5倍,人気不問,8864,5836,85.1,83.7,86.2,0
単勝,下級クラス1-2,MF複勝1位,〜5倍,3番人気以内,8849,2878,79.5,78.1,82.0,0
複勝,下級クラス1-2,MF複勝1位,〜5倍,3番人気以内,8849,5826,85.1,83.7,86.2,0
単勝,下級クラス1-2,MF複勝1位,5-10倍,人気不問,1533,181,73.1,65.4,87.1,0
複勝,下級クラス1-2,MF複勝1位,5-10倍,人気不問,1533,583,76.7,71.8,85.4,0
単勝,下級クラス1-2,MF複勝1位,5-10倍,4番人気以下,657,65,70.4,60.2,78.1,0
複勝,下級クラス1-2,MF複勝1位,5-10倍,4番人気以下,657,218,72.3,60.3,82.0,0
