券種,レース条件,馬の条件,オッズ,人気,点数,的中,回収率,最悪年,最良年,100%超の年数
複勝,全体,MF複勝3位以内,10-20倍,人気不問,5227,1339,78.2,76.9,79.3,0
単勝,全体,MF複勝3位以内,10-20倍,4番人気以下,4914,306,82.7,69.1,95.1,0
複勝,全体,MF複勝3位以内,10-20倍,4番人気以下,4914,1226,77.0,75.6,79.3,0
単勝,全体,MF複勝3位以内,10-20倍,6番人気以下,2347,147,89.9,79.7,104.3,1
複勝,全体,MF複勝3位以内,10-20倍,6番人気以下,2347,517,76.5,70.7,84.7,0
単勝,全体,MF複勝3位以内,10-20倍,3番人気以内,313,20,75.2,37.0,144.0,1
複勝,全体,MF複勝3位以内,10-20倍,3番人気以内,313,113,96.8,79.8,110.2,2
単勝,全体,MF複勝3位以内,20-50倍,人気不問,1667,46,70.1,57.9,85.4,0
複勝,全体,MF複勝3位以内,20-50倍,人気不問,1667,251,74.2,66.4,80.5,0
単勝,全体,MF複勝3位以内,20-50倍,4番人気以下,1663,46,70.3,58.1,85.4,0
複勝,全体,MF複勝3位以内,20-50倍,4番人気以下,1663,249,74.2,66.6,80.5,0
単勝,全体,MF複勝3位以内,20-50倍,6番人気以下,1499,42,72.0,64.2,91.8,0
複勝,全体,MF複勝3位以内,20-50倍,6番人気以下,1499,217,74.6,66.3,85.0,0
単勝,全体,MF複勝3位以内,〜10倍,人気不問,37827,8471,80.0,78.9,81.4,0
複勝,全体,MF複勝3位以内,〜10倍,人気不問,37827,20082,82.7,81.6,83.3,0
単勝,全体,MF複勝3位以内,〜10倍,4番人気以下,5865,621,77.9,70.7,86.6,0
複勝,全体,MF複勝3位以内,〜10倍,4番人気以下,5865,2092,77.1,74.0,81.8,0
単勝,全体,MF複勝3位以内,〜10倍,6番人気以下,291,27,78.7,31.8,111.8,1
複勝,全体,MF複勝3位以内,〜10倍,6番人気以下,291,100,90.4,76.3,109.3,2
単勝,全体,MF複勝3位以内,〜10倍,3番人気以内,31962,7850,80.3,77.7,82.4,0
複勝,全体,MF複勝3位以内,〜10倍,3番人気以内,31962,17990,83.7,82.5,84.9,0
単勝,全体,MF複勝3位以内,〜20倍,人気不問,43054,8797,80.2,79.2,82.1,0
複勝,全体,MF複勝3位以内,〜20倍,人気不問,43054,21421,82.1,81.3,82.8,0
単勝,全体,MF複勝3位以内,〜20倍,4番人気以下,10779,927,80.1,72.8,90.4,0
複勝,全体,MF複勝3位以内,〜20倍,4番人気以下,10779,3318,77.1,75.2,80.7,0
単勝,全体,MF複勝3位以内,〜20倍,6番人気以下,2638,174,88.6,77.6,103.8,1
複勝,全体,MF複勝3位以内,〜20倍,6番人気以下,2638,617,78.0,72.8,86.8,0
単勝,全体,MF複勝3位以内,〜20倍,3番人気以内,32275,7870,80.3,77.4,82.1,0
