種牡馬名,父_産駒数,父_勝率,父_連対率,父_複勝率,父_芝勝率,父_ダート勝率,父_短距離勝率,父_中距離勝率,父_長距離勝率,父_良馬場勝率,父_重馬場勝率,父_平均着順,種別,母父_産駒数,母父_勝率,母父_連対率,母父_複勝率,母父_芝勝率,母父_ダート勝率,母父_短距離勝率,母父_中距離勝率,母父_長距離勝率,母父_良馬場勝率,母父_重馬場勝率,母父_平均着順
モンヴェール,,,,,,,,,,,,,母父,28.0,0.10714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.12,,0.10714285714285714,,0.1111111111111111,0.0,7.285714285714286
モーガンズマンボ,,,,,,,,,,,,,母父,29.0,0.034482758620689655,0.06896551724137931,0.10344827586206896,,0.034482758620689655,0.03571428571428571,0.0,,0.06666666666666667,0.0,6.896551724137931
モーガンルフェイ,,,,,,,,,,,,,母父,12.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,,0.0,0.0,8.75
モーディッシュ,,,,,,,,,,,,,母父,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.25
モーニングコール,,,,,,,,,,,,,母父,37.0,0.02702702702702703,0.05405405405405406,0.21621621621621623,0.0,0.07692307692307693,0.047619047619047616,0.0,0.0,0.037037037037037035,0.0,7.0
モーニングタイド,,,,,,,,,,,,,母父,21.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.523809523809524
モーニングテラス,,,,,,,,,,,,,母父,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.666666666666666
モーニングニュース,,,,,,,,,,,,,母父,6.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,,0.16666666666666666,,0.16666666666666666,,0.5,0.0,7.666666666666667
モーニングフェイス,,,,,,,,,,,,,母父,64.0,0.09375,0.15625,0.21875,0.1111111111111111,0.09090909090909091,0.0,0.09090909090909091,0.2,0.08571428571428572,0.08333333333333333,7.515625
モーニングムーン,,,,,,,,,,,,,母父,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.142857142857142
