競馬場cd,_track,_距離帯,_脚質bin,コース脚質バイアス
9,1,4.0,2.0,0.28837209302325584
9,1,4.0,3.0,0.2687846696923853
9,1,4.0,4.0,0.21431492842535788
9,0,4.0,2.0,0.3057235923685435
9,0,4.0,3.0,0.261977886977887
9,0,4.0,4.0,0.19653742989514753
3,1,5.0,1.0,0.1625
2,0,2.0,2.0,0.4027777777777778
2,1,5.0,1.0,0.23333333333333334
2,1,4.0,2.0,0.21428571428571427
2,1,5.0,3.0,0.29285714285714287
3,1,7.0,3.0,0.3470319634703196
2,1,6.0,3.0,0.2549019607843137
2,1,4.0,1.0,0.391304347826087
2,1,4.0,3.0,0.23529411764705882
2,1,4.0,4.0,0.19047619047619047
3,1,6.0,2.0,0.2222222222222222
2,0,2.0,1.0,0.4492753623188406
2,0,2.0,4.0,0.1732283464566929
2,1,5.0,2.0,0.17073170731707318
2,1,5.0,4.0,0.2747747747747748
2,0,2.0,3.0,0.27741935483870966
2,1,3.0,1.0,0.2781954887218045
2,1,3.0,2.0,0.32335329341317365
2,1,6.0,4.0,0.345679012345679
2,0,4.0,1.0,0.40869565217391307
2,0,4.0,2.0,0.27898550724637683
2,0,4.0,3.0,0.2807017543859649
2,0,4.0,4.0,0.25448028673835127
2,1,3.0,3.0,0.2557077625570776
2,1,3.0,4.0,0.188
3,0,4.0,1.0,0.3390804597701149
3,1,8.0,3.0,0.35
3,1,8.0,4.0,0.2653061224489796
10,1,6.0,2.0,0.21621621621621623
10,1,6.0,3.0,0.26704545454545453
10,1,6.0,4.0,0.26991150442477874
3,1,7.0,2.0,0.34513274336283184
3,1,7.0,4.0,0.2627986348122867
3,1,3.0,2.0,0.2889447236180904
3,1,6.0,3.0,0.30708661417322836
3,1,6.0,4.0,0.20833333333333334
3,0,4.0,3.0,0.24579124579124578
3,1,4.0,1.0,0.23076923076923078
3,1,4.0,2.0,0.2513089005235602
10,1,8.0,2.0,0.3076923076923077
10,1,8.0,3.0,0.35526315789473684
3,0,3.0,4.0,0.208955223880597
3,1,5.0,3.0,0.26359832635983266
3,1,4.0,4.0,0.23214285714285715
3,1,4.0,3.0,0.2677966101694915
3,1,3.0,1.0,0.30952380952380953
3,1,3.0,3.0,0.2613861386138614
3,1,3.0,4.0,0.20442930153321975
3,1,5.0,2.0,0.2792207792207792
3,1,5.0,4.0,0.24926686217008798
3,0,3.0,1.0,0.38666666666666666
3,0,3.0,2.0,0.275974025974026
3,0,3.0,3.0,0.24863387978142076
3,0,4.0,2.0,0.3368421052631579
3,0,4.0,4.0,0.19784656796769853
10,1,7.0,2.0,0.31386861313868614
10,1,7.0,3.0,0.36013986013986016
10,1,7.0,4.0,0.2755905511811024
10,1,3.0,1.0,0.2878787878787879
10,1,3.0,2.0,0.2558139534883721
10,1,3.0,3.0,0.20766283524904214
10,1,3.0,4.0,0.16170212765957448
10,0,2.0,1.0,0.3732876712328767
10,0,2.0,2.0,0.2878464818763326
10,0,2.0,3.0,0.22088353413654618
10,0,2.0,4.0,0.18807339449541285
10,0,4.0,1.0,0.27455919395465994
10,0,4.0,2.0,0.2940613026819923
10,0,4.0,3.0,0.22515212981744423
10,0,4.0,4.0,0.1833648393194707
10,1,5.0,1.0,0.256
10,1,5.0,2.0,0.25348189415041783
10,1,5.0,3.0,0.2604166666666667
10,1,5.0,4.0,0.23598130841121495
10,1,4.0,1.0,0.28205128205128205
10,1,4.0,2.0,0.2793427230046948
10,1,4.0,3.0,0.2907303370786517
10,1,4.0,4.0,0.22057142857142858
4,1,3.0,2.0,0.24183006535947713
4,1,3.0,3.0,0.21505376344086022
4,1,3.0,4.0,0.20675105485232068
4,1,8.0,2.0,0.23529411764705882
4,1,8.0,3.0,0.275
4,1,8.0,4.0,0.24285714285714285
4,1,2.0,3.0,0.236
1,1,5.0,1.0,0.2545454545454545
