券種,レース条件,馬,オッズ,人気,点数,的中,ROI,CI下,最悪年,年100超
複勝,長距離1900+,MF複勝2位以内,1-5,人気1-6,4372,2797,85.2,83.2,83.9,0
複勝,全体,MF複勝1位,1-20,人気1-6,13085,7984,84.5,83.2,82.1,0
複勝,全体,MF複勝1位,1-20,人気不問,13193,8007,84.5,83.2,81.8,0
複勝,堅いR(1人気=MF1位),MF複勝3位以内,1-10,人気1-3,17527,10262,84.3,83.2,83.1,0
複勝,芝,MF複勝2位以内,1-5,人気1-3,9602,6038,84.6,83.2,82.8,0
複勝,短距離-1400,MF複勝3位以内,1-5,人気1-3,8005,4803,84.9,83.2,83.7,0
複勝,長距離1900+,MF複勝2位以内,1-5,人気不問,4372,2797,85.2,83.2,83.9,0
複勝,短距離-1400,MF複勝5位以内,1-5,人気不問,9353,5508,84.7,83.2,83.1,0
複勝,短距離-1400,MF複勝1位,1-5,人気1-6,3691,2349,85.2,83.1,79.8,0
複勝,少頭数-12,MF複勝3位以内,1-10,人気不問,11082,6544,84.6,83.1,82.5,0
複勝,短距離-1400,MF複勝5位以内,1-5,人気1-3,9320,5485,84.6,83.1,83.1,0
複勝,短距離-1400,MF複勝1位,1-5,人気1-3,3683,2342,85.1,83.1,79.5,0
複勝,短距離-1400,MF複勝1位,1-5,人気不問,3691,2349,85.2,83.0,79.8,0
複勝,ダート,MF複勝5位以内,1-20,人気1-3,19425,10504,84.1,83.0,82.9,0
複勝,芝,MF複勝5位以内,1-5,人気1-6,13945,8429,84.0,82.9,83.6,0
複勝,ダート,MF複勝5位以内,1-10,人気1-3,19120,10397,84.1,82.9,82.9,0
複勝,ダート,MF複勝2位以内,1-10,人気不問,12649,7188,84.4,82.9,83.5,0
複勝,ダート,MF複勝2位以内,1-10,人気1-6,12644,7185,84.3,82.9,83.5,0
複勝,芝,MF複勝5位以内,1-5,人気不問,13945,8429,84.0,82.9,83.6,0
複勝,芝,MF複勝3位以内,1-5,人気不問,12049,7393,84.0,82.8,83.2,0
複勝,堅いR(1人気=MF1位),MF複勝5位以内,1-20,人気1-3,21895,12126,83.9,82.8,82.9,0
複勝,芝,MF複勝5位以内,1-5,人気1-3,13877,8391,84.0,82.8,83.7,0
複勝,芝,MF複勝3位以内,1-5,人気1-6,12049,7393,84.0,82.8,83.2,0
複勝,ダート,MF複勝2位以内,1-20,人気1-6,13301,7376,84.3,82.8,83.2,0
複勝,全体,MF複勝3位以内,1-20,人気1-3,31575,17755,83.7,82.8,82.6,0
複勝,芝,MF複勝3位以内,1-5,人気1-3,12004,7368,84.0,82.8,83.2,0
複勝,長距離1900+,MF複勝2位以内,1-10,人気1-3,5282,3192,84.7,82.7,82.7,0
複勝,芝,MF複勝1位,1-10,人気1-3,6129,3847,84.4,82.7,82.1,0
複勝,長距離1900+,MF複勝3位以内,1-5,人気1-3,5445,3394,84.5,82.7,83.9,0
複勝,全体,MF複勝3位以内,1-10,人気1-3,31289,17655,83.6,82.7,82.6,0
複勝,芝,MF複勝1位,1-20,人気1-3,6132,3848,84.4,82.7,82.1,0
複勝,少頭数-12,MF複勝3位以内,1-20,人気1-6,12074,6831,84.1,82.6,82.7,0
複勝,ダート,MF複勝2位以内,1-20,人気不問,13483,7411,84.1,82.6,82.8,0
複勝,長距離1900+,MF複勝3位以内,1-5,人気不問,5466,3402,84.4,82.6,83.7,0
複勝,全体,MF複勝2位以内,1-10,人気不問,25792,14626,83.7,82.6,82.5,0
複勝,長距離1900+,MF複勝2位以内,1-20,人気1-3,5289,3194,84.7,82.6,82.7,0
複勝,全体,MF複勝2位以内,1-10,人気1-6,25782,14620,83.6,82.6,82.4,0
