race_id,年,券種,組み合わせ,確率,推定オッズ,期待値,払戻
202105050211,2021,馬単,10-06,0.1082299032570604,33.007134896527845,3.572359016643951,0.0
202106050111,2021,馬単,05-06,0.01659849900536529,332.65298540055176,5.521540247302853,0.0
202308020311,2023,馬連,05-12,0.0015509877362119883,1727.769164309172,2.6797487848487616,0.0
202306050811,2023,馬連,01-16,0.08124821828544344,30.515082309818084,2.479296068506373,0.0
202406050111,2024,馬単,14-12,0.016404685621314922,123.9484304249766,2.0333350343771666,0.0
202106020101,2021,馬単,09-12,0.03886080103873992,58.5188182599701,2.2740881534228787,0.0
202106020701,2021,馬連,01-03,0.006576769584893828,306.8439905587016,2.0180422244139176,0.0
202106030701,2021,馬単,12-10,0.3941767672165407,5.232864630208866,2.0626736632175096,0.0
202104050607,2021,馬連,02-13,0.13820891586108353,17.567737404081527,2.4280179407503137,0.0
202105050512,2021,馬連,17-18,0.03385026969755152,79.34500352336381,2.6858497684190406,0.0
202206020404,2022,馬単,06-10,0.0124636868112077,177.13888206809764,2.207803548184225,0.0
202505040502,2025,馬単,08-04,0.13921970276902787,15.12783428407084,2.106092592567452,0.0
202506050803,2025,馬単,13-01,0.008273519232053139,255.3424663050021,2.112580805734315,0.0
202206030302,2022,馬単,05-07,0.0049041798203149235,431.3270081364334,2.1153052092595073,0.0
202109030112,2021,馬単,02-01,0.09947032408302049,25.838125712715307,2.5701267383416164,2150.0
202110040709,2021,馬単,08-16,0.0309654632746748,94.43210084395702,2.924133750633938,0.0
202209010312,2022,馬連,01-05,0.24063662360412116,9.532724525412553,2.2939226435434747,0.0
202209040709,2022,馬単,13-01,0.015444738845955592,238.2866183319814,3.680274590623347,0.0
202303030510,2023,馬単,08-02,0.07277700775073982,30.87750057386756,2.247172098587833,0.0
202309020604,2023,馬連,09-13,0.0310252501413713,85.12344461678255,2.640976162130845,0.0
202304010202,2023,馬連,03-04,0.0009974211671991266,2901.680137111631,2.894197189196405,0.0
202106020208,2021,馬単,15-11,0.02004163181388096,117.3147275526316,2.3511785759555988,0.0
202306030502,2023,馬単,06-09,0.055233143349590307,56.37077309428246,3.1135349910437315,0.0
202305040201,2023,馬単,12-05,0.05209336244173253,40.93103163434377,2.13223506604189,0.0
202309010105,2023,馬単,15-04,0.1523834834470094,17.39381165214515,2.6505296099750595,0.0
202304020412,2023,馬連,05-07,0.059652206395304344,34.67002565759942,2.0681435262576175,0.0
202107010512,2021,馬単,16-02,0.00288240121922324,812.8452039594524,2.342946006932489,0.0
202105020111,2021,馬単,02-05,0.12136763376179506,18.52308819653218,2.2481033843741463,0.0
202107050111,2021,馬連,11-12,0.030466302218083798,95.17354865630365,2.89958609653045,0.0
202206030211,2022,馬連,01-07,0.003769396156157112,944.7837441412174,3.561264213565629,0.0
202207030411,2022,馬連,01-15,0.015229816547216012,299.11401854134226,4.555451629085211,0.0
202201010611,2022,馬連,01-08,0.013478145353674063,335.1077835452706,4.516631415770703,0.0
202409010511,2024,馬単,10-11,0.00433818585046121,708.5883561016701,3.073987980241834,0.0
202408030811,2024,馬単,07-03,0.0017508621500462338,1168.702189721385,2.0462364286593253,0.0
202506010102,2025,馬連,01-16,0.0005943515488476081,4360.493330399202,2.5916659646624307,0.0
202509010806,2025,馬単,15-01,0.021552079138448053,123.18516147093851,2.6548963487041686,0.0
202501010407,2025,馬連,04-06,0.13627489091654144,16.84555382321901,2.295626009687898,0.0
202505050401,2025,馬単,12-13,0.0048357166466593896,467.6945970664827,2.261638548587046,0.0
202107020507,2021,馬単,06-04,0.058146331737581984,42.81121106053168,2.489314880413314,0.0
202103020110,2021,馬単,11-05,0.007015946064942192,321.7831131457862,2.257612966440027,0.0
202103020607,2021,馬単,16-04,0.01214409372594971,253.25084609972726,3.0755020112111535,0.0
202210010612,2022,馬連,03-06,0.05539660864079181,45.53235777388923,2.522338204092656,0.0
202405010602,2024,馬単,04-01,0.02762480479395989,74.73802261457519,2.0646232854141995,0.0
202508030806,2025,馬単,15-05,0.020157609959260518,104.96707583034215,2.115885373152159,0.0
202508040701,2025,馬単,08-14,0.00983665425264635,213.42323453675192,2.0993705676194803,0.0
202506020103,2025,馬単,10-15,0.0038652999193132262,699.082239043134,2.7021625221667356,0.0
202506020801,2025,馬単,12-01,0.0027637927679181845,920.8863947764845,2.545139157957498,0.0
202109020312,2021,馬連,03-10,0.020746070727405457,101.34519318934154,2.1025145457886496,0.0
202105010406,2021,馬連,05-14,0.001949512588460979,1266.7490452611576,2.469543210157553,0.0
202103010211,2021,馬単,07-10,0.01265057049393001,200.8730291428614,2.5411584155010254,0.0
202107050411,2021,馬単,17-02,0.005662502299119019,551.6625881550453,3.123790673765893,0.0
202204040411,2022,馬単,12-01,0.009211406700691559,266.52019892137673,2.455025946214017,0.0
202307010511,2023,馬単,11-13,0.03802427881277088,70.93660883084414,2.6973133922164823,0.0
202307040211,2023,馬単,15-14,0.03476275696974406,66.19678929161262,2.3011828983216858,0.0
202301020204,2023,馬連,09-14,0.04652291702845465,48.61659843000269,2.261785974964714,0.0
202505040409,2025,馬単,16-13,0.0029705675323396107,780.3011501480793,2.3179372620771397,0.0
202309030309,2023,馬単,01-05,0.04394675058464748,58.95838541716309,2.5910294588015836,0.0
202403030110,2024,馬連,05-12,0.030031967398110735,70.95913327305409,2.131042377054555,0.0
202508020809,2025,馬連,03-09,0.2105694464850086,11.709729079193313,2.4657111706951453,0.0
202406040805,2024,馬連,03-16,0.00020735824577976475,13000.93819468081,2.6958517375401545,0.0
202503020705,2025,ワイド,06-15,0.06912433976185164,37.68291392864338,2.6048065456201566,0.0
202310020209,2023,馬連,12-13,0.07431577756874502,43.505020229947924,3.2331094065325625,0.0
202309050210,2023,馬連,13-16,0.00123521462100521,1706.151252270957,2.1074629724514344,0.0
202407030410,2024,馬連,02-15,0.004789325871351717,506.47564351484834,2.4256769026951726,0.0
202201020506,2022,馬連,01-05,0.0007227510883156636,3509.354303895096,2.536389642425439,0.0
202105040212,2021,馬単,05-06,0.021130616962054358,144.96188509325577,3.0631340680029253,0.0
202105040812,2021,馬連,13-14,0.0017237283065556653,2053.3341999351755,3.539390283247092,0.0
202305010108,2023,馬単,01-11,0.03853520787065997,151.35700771943945,5.832573755149685,0.0
202110010609,2021,馬単,02-05,0.05373758369417685,52.077233415356304,2.798504689218893,0.0
202110020308,2021,馬連,03-05,0.0211773490818729,106.17732008592114,2.248554172037307,0.0
202104050501,2021,馬連,03-07,0.007303479200731223,402.8018423610766,2.9418548777003397,0.0
202210020610,2022,馬連,07-08,0.028196231536154567,120.52117304653021,3.398242900228917,0.0
202301020109,2023,馬単,08-07,0.07663695254842809,28.471742664538084,2.1819875915532605,0.0
202205040311,2022,馬連,01-10,0.0019284645471377,2235.20687007847,4.310517204464952,0.0
202106010508,2021,馬単,03-06,0.07329113475824031,33.239110186719564,2.4361321039388617,0.0
202104010209,2021,馬連,06-07,0.11316031011260758,23.836676548968377,2.6973657103351822,0.0
202106040707,2021,馬単,06-14,0.14186827113930875,16.668947094047756,2.3647947059451595,0.0
202104050807,2021,ワイド,01-13,0.0009383374158431524,2245.1126370791035,2.1066731901536113,0.0
202105010711,2021,馬単,03-04,0.13766372950986283,19.015818864289827,2.6177885445421416,0.0
202102010611,2021,馬単,01-08,0.15669826414150334,17.656112763761094,2.7666822215680043,0.0
202101020811,2021,馬単,05-01,0.0289449807683205,93.37812411832894,2.7028280067868757,0.0
202405050603,2024,馬連,01-08,0.06154101682824317,40.23562421505332,2.476141226913465,0.0
202405050804,2024,馬単,06-10,0.022289075357379166,101.17166853849523,2.255022944086307,0.0
202505030603,2025,馬連,05-15,0.12211285332739918,19.030556154275512,2.3238755124058796,0.0
202106020806,2021,馬連,10-13,0.04746095465210976,43.06228122614751,2.0437769764905847,0.0
202307040501,2023,馬単,14-05,0.021247089619340766,138.30567754434026,2.9385931256482434,0.0
202406010303,2024,馬単,06-04,0.06818769711902034,30.83411890478785,2.102507560811533,0.0
202505010607,2025,馬単,10-05,0.03883856024929864,60.17669365978555,2.3371761423091684,0.0
202506050107,2025,馬単,05-01,0.12200740367200355,20.295791494509434,2.476236825713429,0.0
202106010401,2021,馬単,15-10,0.22736834530906058,9.071936094366446,2.0626710985256405,0.0
202105010704,2021,馬単,09-10,0.006265587885789811,384.0285939177321,2.406164905847837,0.0
202206030207,2022,馬単,08-12,0.03602190764757246,57.98462766270089,2.088716902644687,0.0
202204010212,2022,馬単,03-12,0.0077321213697110055,316.5815779830603,2.447847184379652,0.0
202205050807,2022,馬単,09-03,0.006980625790424393,362.2229841039332,2.5285431047204012,0.0
202206050808,2022,馬連,03-16,0.0009960049436258294,2871.8640871007938,2.86039082817387,0.0
202305020112,2023,馬連,09-16,0.00333119600825959,926.3343309837318,3.085801225686825,0.0
202305030509,2023,馬連,10-16,0.02201045858644473,186.98440082734692,4.115612410721501,0.0
202306040712,2023,ワイド,07-08,0.02511964420528151,84.4801460901791,2.122111212195503,0.0
202507010406,2025,馬連,02-12,0.017908936073374168,138.69552198901638,2.4838892369645555,0.0
202509010205,2025,馬連,01-11,0.0012724301303756154,2212.2753937622747,2.814965867711697,0.0
202509020802,2025,馬単,13-15,0.06988109640555869,30.76390187566307,2.1498151927843585,0.0
