競馬場cd,_track,_距離帯,_脚質bin,日付,コース脚質バイアス
6,0,4.0,2.0,2022-03-12,0.22608695652173913
6,0,3.0,1.0,2022-03-12,0.17857142857142858
6,0,3.0,2.0,2022-03-12,0.23030303030303031
6,1,5.0,2.0,2022-03-12,0.25
6,1,5.0,3.0,2022-03-12,0.22826086956521738
6,1,5.0,4.0,2022-03-12,0.27631578947368424
6,0,3.0,3.0,2022-03-12,0.2540322580645161
6,0,3.0,4.0,2022-03-12,0.20943952802359883
6,0,4.0,3.0,2022-03-12,0.28761061946902655
6,0,4.0,4.0,2022-03-12,0.21937321937321938
6,1,3.0,1.0,2022-03-12,0.3125
6,1,3.0,2.0,2022-03-12,0.2564102564102564
6,1,4.0,1.0,2022-03-12,0.2830188679245283
6,1,4.0,2.0,2022-03-12,0.3157894736842105
6,1,4.0,3.0,2022-03-12,0.3442622950819672
6,1,4.0,4.0,2022-03-12,0.25205479452054796
6,1,3.0,3.0,2022-03-12,0.32407407407407407
6,1,3.0,4.0,2022-03-12,0.2
7,1,4.0,1.0,2022-03-12,0.28431372549019607
7,1,6.0,2.0,2022-03-12,0.2833333333333333
7,1,6.0,3.0,2022-03-12,0.3217391304347826
7,1,6.0,4.0,2022-03-12,0.27906976744186046
7,0,5.0,1.0,2022-03-12,0.21428571428571427
7,0,5.0,3.0,2022-03-12,0.2727272727272727
7,0,5.0,4.0,2022-03-12,0.2248995983935743
7,0,3.0,2.0,2022-03-12,0.31336405529953915
7,0,3.0,3.0,2022-03-12,0.20967741935483872
7,0,3.0,4.0,2022-03-12,0.1786833855799373
7,1,5.0,1.0,2022-03-12,0.2692307692307692
7,1,5.0,2.0,2022-03-12,0.2635135135135135
7,1,5.0,3.0,2022-03-12,0.3133047210300429
7,1,5.0,4.0,2022-03-12,0.25190839694656486
7,0,4.0,1.0,2022-03-12,0.2644230769230769
7,0,4.0,2.0,2022-03-12,0.3121272365805169
7,0,4.0,3.0,2022-03-12,0.2777142857142857
7,0,4.0,4.0,2022-03-12,0.21140609636184857
7,1,4.0,2.0,2022-03-12,0.28
7,1,4.0,3.0,2022-03-12,0.27383863080684595
7,1,4.0,4.0,2022-03-12,0.2052980132450331
6,0,3.0,2.0,2022-03-13,0.2289156626506024
6,0,3.0,4.0,2022-03-13,0.21176470588235294
6,0,4.0,3.0,2022-03-13,0.28634361233480177
6,1,5.0,2.0,2022-03-13,0.2459016393442623
6,1,5.0,3.0,2022-03-13,0.23404255319148937
6,1,5.0,4.0,2022-03-13,0.2727272727272727
6,0,4.0,2.0,2022-03-13,0.23076923076923078
6,0,4.0,4.0,2022-03-13,0.21910112359550563
6,1,3.0,2.0,2022-03-13,0.25316455696202533
6,1,3.0,3.0,2022-03-13,0.3181818181818182
6,1,3.0,4.0,2022-03-13,0.2012987012987013
6,0,6.0,4.0,2022-03-13,0.32727272727272727
6,1,4.0,1.0,2022-03-13,0.2807017543859649
6,1,4.0,2.0,2022-03-13,0.3160919540229885
6,1,4.0,3.0,2022-03-13,0.3426294820717131
6,1,4.0,4.0,2022-03-13,0.25135135135135134
6,0,3.0,3.0,2022-03-13,0.25301204819277107
7,0,3.0,1.0,2022-03-13,0.3563218390804598
7,0,5.0,3.0,2022-03-13,0.27741935483870966
7,0,5.0,4.0,2022-03-13,0.23015873015873015
7,1,6.0,2.0,2022-03-13,0.2903225806451613
7,1,6.0,3.0,2022-03-13,0.31896551724137934
7,1,6.0,4.0,2022-03-13,0.2742857142857143
7,1,4.0,1.0,2022-03-13,0.2815533980582524
7,1,4.0,2.0,2022-03-13,0.2815884476534296
7,1,4.0,3.0,2022-03-13,0.2736077481840194
7,1,4.0,4.0,2022-03-13,0.20697167755991286
7,0,4.0,2.0,2022-03-13,0.3137254901960784
7,0,4.0,3.0,2022-03-13,0.28153153153153154
7,0,4.0,4.0,2022-03-13,0.2099609375
7,1,5.0,1.0,2022-03-13,0.2777777777777778
7,1,5.0,2.0,2022-03-13,0.26973684210526316
7,1,5.0,3.0,2022-03-13,0.31092436974789917
7,1,5.0,4.0,2022-03-13,0.24937027707808565
7,0,3.0,2.0,2022-03-13,0.3080357142857143
7,0,3.0,3.0,2022-03-13,0.20634920634920634
7,0,3.0,4.0,2022-03-13,0.18518518518518517
7,0,5.0,2.0,2022-03-19,0.28125
7,0,5.0,3.0,2022-03-19,0.27564102564102566
7,0,5.0,4.0,2022-03-19,0.2283464566929134
7,1,3.0,1.0,2022-03-19,0.3
7,1,3.0,3.0,2022-03-19,0.17073170731707318
7,1,3.0,4.0,2022-03-19,0.18719211822660098
7,1,5.0,2.0,2022-03-19,0.2679738562091503
7,1,5.0,3.0,2022-03-19,0.30833333333333335
7,1,5.0,4.0,2022-03-19,0.24874371859296482
7,0,4.0,1.0,2022-03-19,0.2641509433962264
7,0,4.0,2.0,2022-03-19,0.31721470019342357
7,0,4.0,3.0,2022-03-19,0.27968923418423974
7,0,4.0,4.0,2022-03-19,0.20986460348162475
7,1,4.0,1.0,2022-03-19,0.2897196261682243
7,1,4.0,2.0,2022-03-19,0.2826855123674912
7,1,4.0,3.0,2022-03-19,0.2720763723150358
7,1,4.0,4.0,2022-03-19,0.20726495726495728
7,0,3.0,1.0,2022-03-19,0.3522727272727273
7,0,3.0,2.0,2022-03-19,0.30666666666666664
7,0,3.0,3.0,2022-03-19,0.20866141732283464
7,0,3.0,4.0,2022-03-19,0.182370820668693
6,1,4.0,1.0,2022-03-20,0.27586206896551724
6,0,3.0,1.0,2022-03-20,0.1744186046511628
6,0,4.0,4.0,2022-03-20,0.21787709497206703
6,1,5.0,3.0,2022-03-20,0.23157894736842105
6,1,5.0,4.0,2022-03-20,0.27848101265822783
6,0,3.0,3.0,2022-03-20,0.25296442687747034
6,1,4.0,2.0,2022-03-20,0.30726256983240224
6,1,4.0,3.0,2022-03-20,0.3425196850393701
6,1,4.0,4.0,2022-03-20,0.2519893899204244
6,0,3.0,2.0,2022-03-20,0.23529411764705882
6,0,3.0,4.0,2022-03-20,0.21220930232558138
6,0,3.0,3.0,2022-03-21,0.2549019607843137
6,1,7.0,3.0,2022-03-21,0.25
6,1,7.0,4.0,2022-03-21,0.2549019607843137
6,1,6.0,4.0,2022-03-21,0.22972972972972974
6,1,4.0,1.0,2022-03-21,0.2711864406779661
6,1,5.0,2.0,2022-03-21,0.24193548387096775
6,1,5.0,4.0,2022-03-21,0.275
6,0,3.0,2.0,2022-03-21,0.23837209302325582
6,0,3.0,4.0,2022-03-21,0.21159420289855072
6,0,4.0,1.0,2022-03-21,0.22727272727272727
6,0,4.0,2.0,2022-03-21,0.2288135593220339
6,0,4.0,3.0,2022-03-21,0.28695652173913044
6,0,4.0,4.0,2022-03-21,0.2188365650969529
6,1,4.0,2.0,2022-03-21,0.3076923076923077
6,1,4.0,3.0,2022-03-21,0.3463035019455253
6,1,4.0,4.0,2022-03-21,0.24934383202099739
7,0,3.0,1.0,2022-03-21,0.36666666666666664
7,0,3.0,2.0,2022-03-21,0.3
7,0,3.0,3.0,2022-03-21,0.2076923076923077
7,0,3.0,4.0,2022-03-21,0.1831831831831832
7,1,5.0,2.0,2022-03-21,0.2645161290322581
7,1,5.0,3.0,2022-03-21,0.3070539419087137
7,1,5.0,4.0,2022-03-21,0.24938271604938272
7,0,5.0,1.0,2022-03-21,0.23255813953488372
7,0,5.0,3.0,2022-03-21,0.2802547770700637
7,0,5.0,4.0,2022-03-21,0.2248062015503876
7,1,4.0,2.0,2022-03-21,0.2847222222222222
7,1,4.0,1.0,2022-03-21,0.28440366972477066
7,1,4.0,3.0,2022-03-21,0.27400468384074944
7,1,4.0,4.0,2022-03-21,0.20588235294117646
7,0,4.0,1.0,2022-03-21,0.25925925925925924
7,0,4.0,2.0,2022-03-21,0.3225806451612903
7,0,4.0,3.0,2022-03-21,0.27771679473106475
7,0,4.0,4.0,2022-03-21,0.20972354623450906
6,1,4.0,2.0,2022-03-26,0.3114754098360656
6,1,4.0,3.0,2022-03-26,0.3449612403100775
6,1,3.0,2.0,2022-03-26,0.25
6,1,3.0,3.0,2022-03-26,0.32432432432432434
6,1,3.0,4.0,2022-03-26,0.1987179487179487
6,1,4.0,4.0,2022-03-26,0.24739583333333334
6,1,8.0,4.0,2022-03-26,0.1875
6,0,3.0,1.0,2022-03-26,0.17045454545454544
6,0,3.0,2.0,2022-03-26,0.23295454545454544
6,0,3.0,3.0,2022-03-26,0.2558139534883721
6,0,3.0,4.0,2022-03-26,0.21264367816091953
6,0,4.0,4.0,2022-03-26,0.21763085399449036
6,1,6.0,3.0,2022-03-26,0.3333333333333333
6,1,6.0,4.0,2022-03-26,0.2251655629139073
6,0,4.0,2.0,2022-03-26,0.23140495867768596
6,0,4.0,3.0,2022-03-26,0.28448275862068967
7,1,4.0,1.0,2022-03-26,0.2818181818181818
7,1,4.0,2.0,2022-03-26,0.281786941580756
7,1,4.0,3.0,2022-03-26,0.27505827505827507
7,1,4.0,4.0,2022-03-26,0.20754716981132076
7,0,3.0,2.0,2022-03-26,0.3017241379310345
7,0,3.0,3.0,2022-03-26,0.2099236641221374
7,0,3.0,4.0,2022-03-26,0.18154761904761904
7,0,4.0,3.0,2022-03-26,0.27765726681127983
7,0,5.0,1.0,2022-03-26,0.25
7,0,5.0,2.0,2022-03-26,0.28
7,0,5.0,3.0,2022-03-26,0.2787878787878788
7,0,5.0,4.0,2022-03-26,0.22264150943396227
7,1,6.0,3.0,2022-03-26,0.3220338983050847
7,1,6.0,4.0,2022-03-26,0.281767955801105
7,0,4.0,1.0,2022-03-26,0.2648401826484018
7,0,4.0,2.0,2022-03-26,0.3258003766478343
7,0,4.0,4.0,2022-03-26,0.20998116760828625
7,1,5.0,3.0,2022-03-26,0.31275720164609055
7,1,5.0,4.0,2022-03-26,0.24754901960784315
9,0,3.0,1.0,2022-03-26,0.2956989247311828
9,0,5.0,3.0,2022-03-26,0.24615384615384617
9,0,5.0,4.0,2022-03-26,0.29646017699115046
9,1,5.0,2.0,2022-03-26,0.3140495867768595
9,1,5.0,3.0,2022-03-26,0.2894736842105263
9,1,5.0,4.0,2022-03-26,0.25076452599388377
9,1,4.0,2.0,2022-03-26,0.30185185185185187
9,0,4.0,1.0,2022-03-26,0.24269005847953215
9,0,4.0,2.0,2022-03-26,0.30049261083743845
9,0,4.0,3.0,2022-03-26,0.2682551883166795
9,0,4.0,4.0,2022-03-26,0.21408608160983789
9,1,4.0,1.0,2022-03-26,0.24267782426778242
9,1,4.0,3.0,2022-03-26,0.27884615384615385
9,1,4.0,4.0,2022-03-26,0.2274436090225564
9,0,3.0,2.0,2022-03-26,0.2529411764705882
9,0,3.0,3.0,2022-03-26,0.2175925925925926
9,0,3.0,4.0,2022-03-26,0.18590998043052837
6,0,3.0,1.0,2022-03-27,0.16853932584269662
6,0,3.0,2.0,2022-03-27,0.24581005586592178
6,0,3.0,3.0,2022-03-27,0.25384615384615383
6,0,3.0,4.0,2022-03-27,0.21082621082621084
6,1,5.0,3.0,2022-03-27,0.23711340206185566
6,1,5.0,4.0,2022-03-27,0.2795031055900621
6,1,4.0,2.0,2022-03-27,0.3064516129032258
6,1,4.0,3.0,2022-03-27,0.3484848484848485
6,1,4.0,4.0,2022-03-27,0.2454780361757106
6,0,4.0,2.0,2022-03-27,0.232
6,0,4.0,3.0,2022-03-27,0.2796610169491525
6,0,4.0,4.0,2022-03-27,0.2222222222222222
6,1,3.0,4.0,2022-03-27,0.20382165605095542
7,0,3.0,1.0,2022-03-27,0.3695652173913043
7,0,3.0,2.0,2022-03-27,0.30472103004291845
7,0,3.0,3.0,2022-03-27,0.20833333333333334
7,0,3.0,4.0,2022-03-27,0.1834319526627219
7,1,5.0,2.0,2022-03-27,0.267515923566879
7,1,5.0,4.0,2022-03-27,0.2463768115942029
7,0,4.0,1.0,2022-03-27,0.26576576576576577
7,1,6.0,2.0,2022-03-27,0.28125
7,1,6.0,3.0,2022-03-27,0.319672131147541
7,1,6.0,4.0,2022-03-27,0.29411764705882354
7,0,5.0,2.0,2022-03-27,0.2692307692307692
7,0,5.0,3.0,2022-03-27,0.2857142857142857
7,0,5.0,4.0,2022-03-27,0.22388059701492538
7,1,3.0,1.0,2022-03-27,0.3064516129032258
7,1,3.0,2.0,2022-03-27,0.29457364341085274
7,1,3.0,3.0,2022-03-27,0.16666666666666666
7,1,3.0,4.0,2022-03-27,0.18181818181818182
7,0,4.0,2.0,2022-03-27,0.3221601489757914
7,0,4.0,3.0,2022-03-27,0.2763440860215054
7,0,4.0,4.0,2022-03-27,0.2111627906976744
9,1,7.0,3.0,2022-03-27,0.3611111111111111
9,1,7.0,4.0,2022-03-27,0.3448275862068966
9,0,3.0,1.0,2022-03-27,0.29473684210526313
9,0,4.0,1.0,2022-03-27,0.24347826086956523
9,0,4.0,2.0,2022-03-27,0.3020706455542022
9,0,4.0,3.0,2022-03-27,0.26732673267326734
9,0,4.0,4.0,2022-03-27,0.21333333333333335
9,1,5.0,2.0,2022-03-27,0.3114754098360656
9,1,5.0,3.0,2022-03-27,0.29004329004329005
9,1,5.0,4.0,2022-03-27,0.25227963525835867
9,1,6.0,2.0,2022-03-27,0.32142857142857145
9,1,6.0,3.0,2022-03-27,0.3034825870646766
