角度,構成,券種,点数,的中,回収率,最悪年,最良年,年数
2.条件の掛合せ,多頭数16+×道悪 × MF1位以内,単勝,773,196,75.7,62.5,86.5,0
4.弱い1人気,1人気MF6位以下 × MF3位以内 × 5-20倍,複勝,1298,419,79.2,62.3,85.0,0
4.弱い1人気,1人気MF6位以下 × MF3位以内 × 5-20倍,単勝,1298,128,80.7,62.0,106.5,1
4.弱い1人気,1人気MF4位以下 × MF3位以内 × 10-30倍,複勝,1129,241,74.4,62.0,87.8,0
2.条件の掛合せ,道悪×長距離2100+ × MF3位以内,単勝,504,97,76.5,58.9,101.6,1
4.弱い1人気,1人気MF6位以下 × MF2位以内 × 1-50倍,単勝,1228,153,82.5,58.9,115.3,2
2.条件の掛合せ,多頭数16+×重賞級 × MF3位以内,単勝,1704,266,76.9,58.8,106.0,1
2.条件の掛合せ,重賞級×長距離2100+ × MF1位以内,単勝,318,91,86.3,57.2,106.7,2
2.条件の掛合せ,多頭数16+×長距離2100+ × MF1位以内,単勝,333,96,89.4,56.7,175.0,2
4.弱い1人気,1人気MF6位以下 × MF1位以内 × 1-50倍,単勝,617,80,75.3,56.6,93.7,0
4.弱い1人気,1人気MF6位以下 × MF1位以内 × 5-20倍,単勝,383,39,78.8,56.1,91.0,0
4.弱い1人気,1人気MF6位以下 × MF3位以内 × 10-30倍,単勝,466,32,91.5,51.4,143.3,1
4.弱い1人気,1人気MF4位以下 × MF1位以内 × 10-30倍,複勝,204,53,83.8,50.0,117.3,1
2.条件の掛合せ,多頭数16+×長距離2100+ × MF3位以内,単勝,999,197,77.7,49.1,91.0,0
4.弱い1人気,1人気MF6位以下 × MF2位以内 × 10-30倍,単勝,250,24,132.2,44.8,237.8,3
4.弱い1人気,1人気MF6位以下 × MF3位以内 × 1-10倍,単勝,1328,179,74.0,42.7,92.7,0
4.弱い1人気,1人気MF6位以下 × MF2位以内 × 1-10倍,単勝,956,129,71.5,42.4,92.7,0
4.弱い1人気,1人気MF6位以下 × MF3位以内 × 10-30倍,複勝,466,94,71.6,41.5,93.0,0
2.条件の掛合せ,道悪×重賞級 × MF5位以内,単勝,625,82,78.8,36.0,92.5,0
4.弱い1人気,1人気MF6位以下 × MF1位以内 × 1-10倍,単勝,520,70,66.7,33.0,93.3,0
2.条件の掛合せ,道悪×重賞級 × MF3位以内,単勝,375,55,67.9,29.0,82.0,0
