母父名,母父_産駒数,母父_勝率,母父_連対率,母父_複勝率,母父_芝勝率,母父_ダート勝率,母父_短距離勝率,母父_中距離勝率,母父_長距離勝率,母父_良馬場勝率,母父_重馬場勝率,母父_平均着順
クレーンズラヴァー,20,0.05,0.15,0.2,0.0,0.06666666666666667,0.08333333333333333,0.0,,0.07142857142857142,0.0,9.05
クロウキャニオン,16,0.125,0.1875,0.375,0.13333333333333333,0.0,0.16666666666666666,0.1,,0.125,0.5,6.25
クロエチャン,19,0.10526315789473684,0.15789473684210525,0.2631578947368421,,0.10526315789473684,0.15384615384615385,0.0,,0.14285714285714285,0.0,6.7894736842105265
クロスウォーターII,6,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,,,0.0,0.0,7.833333333333333
クロスザレイチェル,8,0.0,0.25,0.25,0.0,0.0,0.0,,0.0,0.0,0.0,8.5
クロネコ,13,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,,0.0,0.0,7.769230769230769
クロノロジスト,6,0.5,0.6666666666666666,0.8333333333333334,0.5,,,0.0,1.0,0.3333333333333333,1.0,2.0
クロフォード,7,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.714285714285714
クロンヌドール,14,0.0,0.07142857142857142,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.928571428571429
クーデグレイス,13,0.15384615384615385,0.23076923076923078,0.23076923076923078,0.16666666666666666,0.0,,0.18181818181818182,0.0,0.125,0.0,5.461538461538462
クーファゲルニカ,9,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.333333333333334
クールグレース,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.307692307692308
クールダウン,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,7.3
クールネージュ,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2,0.0,0.2,0.0,,0.0,0.5,9.333333333333334
クールリーヴ,6,0.0,0.16666666666666666,0.16666666666666666,,0.0,0.0,,,0.0,0.0,6.333333333333333
グッドイヴニング,9,0.0,0.2222222222222222,0.3333333333333333,,0.0,0.0,0.0,,0.0,0.0,6.555555555555555
グッドチョイス,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,8.3
グッドルッキング,23,0.0,0.043478260869565216,0.043478260869565216,0.0,,0.0,0.0,0.0,0.0,0.0,8.869565217391305
グラスケリー,7,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,,0.14285714285714285,,,0.0,,8.142857142857142
グラスブロード,17,0.0,0.0,0.058823529411764705,,0.0,0.0,0.0,0.0,0.0,0.0,10.882352941176471
グラスプリマ,11,0.0,0.0,0.09090909090909091,0.0,0.0,,0.0,0.0,0.0,0.0,7.090909090909091
グラスルビー,10,0.1,0.1,0.2,,0.1,0.2,0.0,0.0,0.25,0.0,9.1
グラッブユアハート,5,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,7.4
グラナダ,5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,8.0
グラニースミス,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,8.8
グランシャルム,8,0.0,0.125,0.125,0.0,0.0,,0.0,,0.0,0.0,9.0
グランデアモーレ,12,0.08333333333333333,0.25,0.25,0.14285714285714285,0.0,0.0,0.2,,0.125,0.0,6.25
グラントリノ,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,7.0
グランドホイッスル,9,0.1111111111111111,0.1111111111111111,0.1111111111111111,,0.1111111111111111,0.0,0.125,,0.2,0.0,8.222222222222221
グランプリエンゼル,11,0.09090909090909091,0.2727272727272727,0.45454545454545453,,0.09090909090909091,0.14285714285714285,0.0,,0.0,0.25,5.909090909090909
グリサージュ,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0
グリューネワルト,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.818181818181818
グリーリーレイ,5,0.4,0.8,0.8,,0.4,0.4,,,0.5,0.0,2.6
