レース条件,ボックス,人気,券種,R数,点数,的中,的中率,累計ROI,最悪年,100%超年数
長距離2100+,MF複勝4位以内,制限なし,馬連,1591,9546,667,7.0,75.4,61.4,0
芝,MF複勝4位以内,全馬3番人気以内,3連複,7220,4224,448,10.6,75.4,66.6,0
少頭数-12,MF複勝3位以内,全馬3番人気以内,3連複,3958,1515,232,15.3,75.3,60.4,0
全体,MF複勝5位以内,制限なし,3連複,14972,149720,4337,2.9,75.2,68.4,0
多頭数16+,MF複勝5位以内,制限なし,3連複,6180,61800,1384,2.2,75.2,64.8,0
重賞級クラス5+,MF複勝5位以内,制限なし,馬単,1307,26140,547,2.1,75.0,67.7,0
多頭数16+,MF複勝2位以内,制限なし,馬単,6180,12360,639,5.2,75.0,68.0,0
芝,MF複勝3位以内,制限なし,馬単,7630,45780,2014,4.4,75.0,69.3,0
道悪,MF複勝5位以内,制限なし,3連複,1804,18040,480,2.7,74.9,64.5,0
全体,MF複勝3位以内,制限なし,3連複,14972,14972,949,6.3,74.8,64.2,0
道悪,MF複勝2位以内,制限なし,馬単,1804,3608,214,5.9,74.8,61.1,0
少頭数-12,MF複勝4位以内,制限なし,馬単,4381,52572,2158,4.1,74.7,68.0,0
全体,MF複勝5位以内,制限なし,馬単,14972,299440,7652,2.6,74.7,70.0,0
全体,MF複勝4位以内,制限なし,馬連,14972,89832,5812,6.5,74.7,69.7,0
ダート,MF複勝4位以内,制限なし,馬単,7342,88104,2825,3.2,74.4,69.5,0
道悪,MF複勝5位以内,全馬3番人気以内,馬単,1751,8610,458,5.3,74.3,66.4,0
重賞級クラス5+,MF複勝4位以内,制限なし,馬単,1307,15684,403,2.6,74.3,64.0,0
重賞級クラス5+,MF複勝2位以内,制限なし,馬単,1307,2614,119,4.6,73.9,57.7,0
道悪,MF複勝3位以内,全馬3番人気以内,馬単,1549,5234,326,6.2,73.7,47.1,0
少頭数-12,MF複勝5位以内,制限なし,馬連,4381,43810,2758,6.3,73.7,69.2,0
芝,MF複勝4位以内,制限なし,馬連,7630,45780,2992,6.5,73.7,68.4,0
全体,MF複勝4位以内,制限なし,3連複,14972,59888,2518,4.2,73.6,64.0,0
道悪,MF複勝5位以内,制限なし,馬連,1804,18040,876,4.9,73.5,65.4,0
道悪,MF複勝4位以内,全馬3番人気以内,馬単,1691,7330,411,5.6,73.5,57.8,0
芝,MF複勝5位以内,制限なし,馬連,7630,76300,3907,5.1,73.5,71.6,0
少頭数-12,MF複勝5位以内,制限なし,馬単,4381,87620,2764,3.2,73.2,67.1,0
道悪,MF複勝3位以内,制限なし,ワイド,1804,5412,1020,18.8,73.1,66.1,0
長距離2100+,MF複勝4位以内,制限なし,馬単,1591,19092,667,3.5,73.0,57.9,0
全体,MF複勝4位以内,制限なし,馬単,14972,179664,5823,3.2,73.0,67.9,0
重賞級クラス5+,MF複勝3位以内,制限なし,馬単,1307,7842,261,3.3,72.9,60.3,0
道悪,MF複勝3位以内,制限なし,馬連,1804,5412,432,8.0,72.8,58.6,0
少頭数-12,MF複勝5位以内,制限なし,3連複,4381,43810,1800,4.1,72.6,68.9,0
多頭数16+,MF複勝5位以内,全馬4番人気以下,馬単,6180,22204,107,0.5,72.6,41.7,2
長距離2100+,MF複勝5位以内,全馬4番人気以下,馬単,1591,5028,33,0.7,72.6,30.6,1
多頭数16+,MF複勝5位以内,全馬4番人気以下,馬連,6180,11102,107,1.0,72.6,43.3,1
道悪,MF複勝4位以内,全馬3番人気以内,3連複,1691,987,85,8.6,72.4,30.7,1
多頭数16+,MF複勝3位以内,全馬4番人気以下,馬連,1037,1143,16,1.4,72.3,10.0,2
道悪,MF複勝4位以内,制限なし,馬連,1804,10824,659,6.1,72.2,64.3,0
重賞級クラス5+,MF複勝3位以内,全馬3番人気以内,3連複,1045,271,25,9.2,72.2,53.7,1
道悪,MF複勝5位以内,制限なし,馬単,1804,36080,877,2.4,72.1,64.6,0
多頭数16+,MF複勝4位以内,制限なし,馬連,6180,37080,2045,5.5,72.1,63.1,0
芝,MF複勝5位以内,制限なし,3連複,7630,76300,2247,2.9,72.0,65.7,0
芝,MF複勝5位以内,制限なし,馬単,7630,152600,3916,2.6,71.8,68.8,0
ダート,MF複勝4位以内,全馬4番人気以下,3連複,3429,525,3,0.6,71.8,0.0,1
全体,MF複勝5位以内,全馬4番人気以下,ワイド,14972,24970,1010,4.0,71.8,59.4,0
芝,MF複勝4位以内,制限なし,馬単,7630,91560,2998,3.3,71.7,66.4,0
多頭数16+,MF複勝3位以内,全馬4番人気以下,馬単,1037,2286,16,0.7,71.6,10.1,2
道悪,MF複勝4位以内,制限なし,馬単,1804,21648,659,3.0,71.6,61.2,0
芝,MF複勝3位以内,全馬3番人気以内,3連複,6646,2350,260,11.1,71.6,58.0,0
長距離2100+,MF複勝5位以内,全馬4番人気以下,馬連,1591,2514,33,1.3,71.4,28.9,1
芝,MF複勝4位以内,制限なし,3連複,7630,30520,1312,4.3,71.3,58.8,0
全体,MF複勝3位以内,全馬4番人気以下,ワイド,2059,2257,106,4.7,71.3,41.9,1
道悪,MF複勝4位以内,制限なし,3連複,1804,7216,273,3.8,71.2,47.8,0
ダート,MF複勝5位以内,全馬4番人気以下,馬単,7342,24898,123,0.5,71.2,40.7,2
多頭数16+,MF複勝4位以内,制限なし,馬単,6180,74160,2048,2.8,70.7,61.5,0
多頭数16+,MF複勝3位以内,制限なし,3連複,6180,6180,297,4.8,70.6,52.7,0
重賞級クラス5+,MF複勝5位以内,全馬4番人気以下,馬連,1307,2555,23,0.9,70.4,35.2,1
道悪,MF複勝3位以内,制限なし,馬単,1804,10824,432,4.0,70.3,54.4,0
道悪,MF複勝5位以内,全馬3番人気以内,3連複,1751,1277,103,8.1,70.1,45.2,0
ダート,MF複勝5位以内,全馬4番人気以下,馬連,7342,12449,123,1.0,70.0,37.0,1
