母父名,母父_産駒数,母父_勝率,母父_連対率,母父_複勝率,母父_芝勝率,母父_ダート勝率,母父_短距離勝率,母父_中距離勝率,母父_長距離勝率,母父_良馬場勝率,母父_重馬場勝率,母父_平均着順
ナギット,23,0.13043478260869565,0.17391304347826086,0.2608695652173913,0.0,0.15789473684210525,0.13333333333333333,0.2,0.0,0.07692307692307693,0.3333333333333333,7.173913043478261
ナショナルホリデー,42,0.047619047619047616,0.19047619047619047,0.40476190476190477,0.0,0.0625,0.25,0.02702702702702703,0.0,0.037037037037037035,0.0,6.928571428571429
ナシートアミーラ,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,13.2
ナスカ,24,0.041666666666666664,0.08333333333333333,0.16666666666666666,0.0,0.1111111111111111,0.0,0.05263157894736842,0.0,0.058823529411764705,0.0,8.041666666666666
ナスカザン,31,0.06451612903225806,0.12903225806451613,0.25806451612903225,,0.06451612903225806,,0.06451612903225806,,0.0,0.0,6.612903225806452
ナスケンアイリス,65,0.1076923076923077,0.15384615384615385,0.26153846153846155,0.06666666666666667,0.12,0.0,0.14,0.0,0.12,0.16666666666666666,6.815384615384615
ナスノカツラ,9,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,8.222222222222221
ナスノシベリウス,79,0.12658227848101267,0.22784810126582278,0.34177215189873417,0.1076923076923077,0.21428571428571427,,0.15151515151515152,0.0,0.140625,0.125,6.025316455696203
ナスノフィオナ,44,0.022727272727272728,0.06818181818181818,0.09090909090909091,0.0,0.041666666666666664,0.0,0.03571428571428571,0.0,0.0,0.2,8.363636363636363
ナタリー,23,0.043478260869565216,0.13043478260869565,0.13043478260869565,0.05555555555555555,0.0,0.0,0.0625,0.0,0.058823529411764705,0.0,8.391304347826088
ナターレ,23,0.08695652173913043,0.2608695652173913,0.30434782608695654,0.13333333333333333,0.0,,0.05263157894736842,0.25,0.06666666666666667,0.0,5.739130434782608
ナチュラルスタイル,14,0.14285714285714285,0.2857142857142857,0.5,0.14285714285714285,,0.1111111111111111,0.2,,0.18181818181818182,,4.5
ナチュラルスタンス,31,0.06451612903225806,0.12903225806451613,0.16129032258064516,0.09523809523809523,0.0,0.2,0.04,0.0,0.08333333333333333,0.0,7.967741935483871
ナチュラルブリッジ,11,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,,0.0,,11.0
ナックオフィス,41,0.04878048780487805,0.12195121951219512,0.1951219512195122,0.058823529411764705,0.0,0.0,0.10526315789473684,0.0,0.03125,0.0,6.878048780487805
ナックビーナス,9,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,,0.0,0.0,7.777777777777778
ナッシングバットドリームズ,20,0.3,0.5,0.55,0.3333333333333333,0.2,,0.35294117647058826,0.0,0.3333333333333333,0.0,3.9
ナデシコチョウサン,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8
ナデシコニッポン,14,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.16666666666666666,0.0,0.0,0.125,0.0,0.1111111111111111,0.0,8.928571428571429
ナトゥーラ,12,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,7.916666666666667
ナドー,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.944444444444445
ナナイロボタン,19,0.21052631578947367,0.3684210526315789,0.3684210526315789,,0.21052631578947367,0.0,0.23529411764705882,,0.08333333333333333,0.5,7.368421052631579
ナナコフレスコ,9,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,7.888888888888889
ナナヨーティアラ,119,0.058823529411764705,0.1092436974789916,0.19327731092436976,0.053763440860215055,0.07692307692307693,0.03571428571428571,0.07462686567164178,0.041666666666666664,0.07317073170731707,0.0,7.46218487394958
ナナリー,35,0.02857142857142857,0.08571428571428572,0.2571428571428571,0.0,0.03125,0.038461538461538464,0.0,,0.0,0.0,7.457142857142857
ナニアヒアヒ,13,0.0,0.07692307692307693,0.15384615384615385,0.0,0.0,,0.0,0.0,0.0,0.0,6.846153846153846
ナパ,21,0.047619047619047616,0.14285714285714285,0.19047619047619047,0.0625,0.0,0.0,0.07692307692307693,,0.07142857142857142,0.0,9.238095238095237
ナミダガキラリ,41,0.07317073170731707,0.12195121951219512,0.24390243902439024,0.0967741935483871,0.0,0.0,0.08108108108108109,0.0,0.0,0.0,6.024390243902439
ナムカーン,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,14.0
ナムラアピア,23,0.043478260869565216,0.08695652173913043,0.13043478260869565,0.08333333333333333,0.0,0.0,0.08333333333333333,,0.0,0.0,7.782608695652174
ナムラアミューズ,20,0.05,0.1,0.15,0.0,0.05263157894736842,0.09090909090909091,0.0,,0.0,0.25,8.05
ナムラアン,13,0.15384615384615385,0.3076923076923077,0.5384615384615384,0.18181818181818182,0.0,0.0,0.18181818181818182,,0.25,0.0,4.461538461538462
ナムラエメラルド,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.61111111111111
ナムラエラン,35,0.08571428571428572,0.11428571428571428,0.11428571428571428,0.0,0.1,0.1,0.07142857142857142,0.0,0.0,0.2222222222222222,8.4
ナムラエンジェル,15,0.06666666666666667,0.13333333333333333,0.2,,0.06666666666666667,0.07692307692307693,0.0,,0.1,0.0,8.866666666666667
ナムラオツウ,29,0.0,0.10344827586206896,0.3103448275862069,0.0,0.0,0.0,0.0,,0.0,0.0,6.689655172413793
ナムラカエデジョウ,24,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,,0.0,0.0,8.833333333333334
ナムラカグヤヒメ,7,0.14285714285714285,0.2857142857142857,0.5714285714285714,,0.14285714285714285,,0.14285714285714285,,0.0,,6.285714285714286
ナムラカメーリア,41,0.024390243902439025,0.0975609756097561,0.14634146341463414,0.0,0.03571428571428571,0.0,0.02702702702702703,0.0,0.038461538461538464,0.0,8.78048780487805
ナムラキッス,9,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.25,0.0,0.2857142857142857,0.0,,0.3333333333333333,0.0,6.222222222222222
ナムラクロシェット,8,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,7.5
ナムラグルーヴ,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,11.0
ナムラケイオス,38,0.05263157894736842,0.13157894736842105,0.21052631578947367,0.08333333333333333,0.038461538461538464,0.05263157894736842,,,0.041666666666666664,0.125,8.210526315789474
ナムラケイト,10,0.0,0.1,0.1,,0.0,,0.0,,0.0,0.0,8.2
ナムラココロ,43,0.06976744186046512,0.13953488372093023,0.20930232558139536,0.0,0.075,0.0,0.08571428571428572,0.0,0.06666666666666667,0.2,7.27906976744186
ナムラシゲコ,64,0.078125,0.109375,0.15625,0.11764705882352941,0.06382978723404255,0.0,0.07407407407407407,0.1111111111111111,0.06976744186046512,0.1,7.625
ナムラジュエル,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,11.2
ナムラジュノー,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.666666666666666
ナムラストロベリー,7,0.42857142857142855,1.0,1.0,0.42857142857142855,,0.42857142857142855,,,0.5,0.0,1.5714285714285714
